"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"Lusan Indusries Ltd","gemstones","2","0","43555","Gold/Iron Ore/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Far-North Enterprise Limited","critical_battery","2","0","43433","Manganese/Silver/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"G & G National Wide Import And Export Limited","critical_battery","2","0","41394","Tantalum/Nickel/Silver","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"W.M.M Investments Limited","critical_battery","1","0","41010","Manganese/Lead/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Wise Suppliers Company Limited","gemstones","3","0","38124","Cobalt/Copper/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Sino-Kasempa Minerals Limited","critical_battery","2","1","35820","Gold/Zinc/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"ZCCM IH Plc","gemstones","1","0","35819","Manganese/Limestone (General)/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Central Africa Renewable Energy Corporation Limited","critical_battery","1","0","34181","Nickel/Uranium/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"MMG (Zambia) Exploration Limited","critical_battery","4","0","33639","Silver/Nickel/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Freca Mining & Manufacturing Limited","critical_battery","3","2","32964","Copper/Nickel/Silver","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"San He (Zambia) Limited","critical_battery","6","4","32155","Manganese/Copper/Cobalt","4","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Zhongdi Mining Group Corp.Ltd","critical_battery","1","0","31535","Silver/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Yuezam Investments Company Limited","critical_battery","2","0","31474","Iron Ore/Manganese/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Tawakkal Mining Equipments & Auto Spares Limited","gemstones","1","0","30460","Manganese/Limestone (General)/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Big 3 Lithium Investments Limited","critical_battery","1","0","28549","Tin/Titanium/Niobium (Columbium)","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Bangweulu Batteries Limited","critical_battery","1","0","28191","Manganese/Lead/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Tauraus Mineral Resources Limited","critical_battery","6","1","27651","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Copper X Resources Limited","base_metals","1","0","27254","Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Strong Tower Mining Ltd","gemstones","2","1","27227","Zinc/Nickel/Quartz","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"MJF Exploration & Mining Limited","critical_battery","3","0","25238","Limestone (General)/Lead/Zinc","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"F-Net Zambia Limited","critical_battery","2","0","24385","Iron Ore/Lead/Manganese","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Musamu Resources ltd","critical_battery","1","1","24229","Nickel/Manganese/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Sino-Metals Leach Zambia Limited","base_metals","3","3","22096","Copper/","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"GEO-LOGIC RESOURCES ZAMBIA LIMITED","gemstones","1","0","21682","Gold/Tourmaline/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Montauk Mining & Minerals Limited","gold","1","0","21488","Iron Ore/Silver/Gold","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Trimble Spatial Zen Ltd Test","base_metals","5","0","20905","Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"AMBER Investments & Mining Limited","gold","1","0","20899","Lead/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Tamarisk Investments Ltd","gemstones","1","0","19616","Diamond","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Maamba Colieries Limited","gemstones","4","2","19497","Tantalum/Lithium/Amethyst","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Bans Country wide Tours Limited","critical_battery","1","0","19002","Lead/Iron Ore/Lithium","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Kwikfix Engineering Limited","gold","1","0","18758","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Rio Tinto Exploration Zambia Ltd","gemstones","1","0","18514","Rare EarthsElements/Niobium (Columbium)/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Nisco Industries Ltd","critical_battery","2","0","18343","Lead/Gold/Coal","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Zambian Goldcommon Resources Holdings Ltd","critical_battery","1","0","18237","Iron Ore/Nickel/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"DONZAM EXPLORATION & MINING ZAMBIA LIMITED","gemstones","3","0","17950","Iron Ore/Nickel/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Horizon Freight Serices Limited","critical_battery","2","0","17550","Nickel/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Gold Co Corporation Zambia Limited","critical_battery","1","0","15889","Molybdenum/Iron Ore/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Headframe Resources (Z) Ltd","critical_battery","2","0","15341","Rare EarthsElements/Nickel/Zinc","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Maxglobal Ferro Alloys Limited","critical_battery","2","1","14903","Manganese","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"SGC Investments Limited","critical_battery","2","0","14285","Lithium/Limestone (General)/Lead","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"One Candle (Zambia) Limited","critical_battery","1","0","14025","Manganese/Lead/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Headframe Resources (Zambia) Limited","critical_battery","1","0","13549","Nickel/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Marriot Industries Limited","critical_battery","3","0","13482","Iron Ore/Manganese/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"B.C.N INTERNATIONAL LIMITED","gemstones","1","0","11585","Gold/Lithium/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Tawakkal Gems Investments Co. Limited","gemstones","4","1","11423","Copper/Gold/Zinc","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"First Quantum Mining & Operations Limited","critical_battery","1","1","10898","Silver/Zinc/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Brockworth Exploration & Mining Limited","industrial_minerals","1","0","10696","Anhydrite/Gypsum","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"WEALTHYBAY MINING COMPANY LIMITED","critical_battery","1","0","10009","Nickel/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Jedna Agri-Trade Limited","critical_battery","1","0","9182","Iron Ore/Anhydrite/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"V.L Investment Company Limited","gemstones","1","0","9111","Malachite/Lead/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Jing De Zham Enterprises Ltd","critical_battery","1","0","8935","Platinum Group Metals/Nickel/Silver","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Ba'al-Perazim Limited","critical_battery","3","1","8784","Gold/Copper/Manganese","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Tonawanda Procurement Limited","gemstones","3","0","8582","Iron Ore/Manganese/Gold","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"Mwaphi Investmnet limited","gemstones","1","0","8369","Gold/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Redspot Intertrade Limited","critical_battery","1","0","8265","Lead/Iron Ore/Lithium","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Hot-Spring Oils Company Limited","critical_battery","2","0","8225","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Novo Resouces Zambia Limited","gemstones","3","0","8134","Gold/Copper/Cobalt","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Myanango Enterprises Company Limited","industrial_minerals","2","0","8089","Silica/Granite","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Uni-African Mining and Energy Corporation Limited","gemstones","2","0","7949","Iron Ore/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Zambian East Mining Corporation Ltd","gemstones","1","0","7792","Manganese/Iron Ore/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Sino Great Development Company(Zambia) Limited","critical_battery","1","0","7592","Tin/Tantalum/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Lords Craftsmen Enterprises Limited","critical_battery","1","0","7390","Nickel/Silver/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Cornerstone Resources Mining & Explorations Limited","critical_battery","1","0","7175","Gold/Manganese/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Copper Zone Resources Ltd","critical_battery","1","0","7147","Rare EarthsElements/Manganese/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Changa-Changa Exploration Limited","critical_battery","1","0","6911","Lead/Manganese/Zinc","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Misambo Enterprise & agro Limited","critical_battery","1","0","6900","Manganese/Silver/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Mowen Resourses Limited","gemstones","1","0","6560","Malachite/Iron Ore/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Gold tech resources zambia limited","gold","1","0","6311","Iron Ore/Limestone (General)/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Feldon & Camara Mining Limited","critical_battery","2","0","5984","Nickel/Zinc/Iron Ore","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Kilajits Engineering & Logistics Zambia Limited","critical_battery","2","0","5289","Lead/Copper/Cobalt","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Stewes Mineral Resources Limited","critical_battery","1","0","5227","Lithium/Manganese/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Oscarios Mining & Exploration Limited","critical_battery","3","0","4649","Lead/Manganese/Zinc","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Sulwaitech Services Limited","gemstones","8","0","4519","Copper/Zinc/Gold","8","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Dexing Zambia Metallurgical Mining Company Limited","gold","1","0","4275","Malachite/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Mkushi-Serenje Investments Limited","gemstones","3","0","4239","Quartz/Gold/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Iwin Group Limited; Iwin Minerals Limited","critical_battery","1","0","4136","Nickel/Quartz/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Mukoleku Security Services LTD","critical_battery","1","0","4124","Platinum/Mineral Sands/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Gemaguo Mining and Contractors Limited","gemstones","1","0","4113","Silver/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Marjohn Lukeka Mining & Exploration Company Limited","critical_battery","1","0","3555","Iron Ore/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Phenomenal Mining Company Limited","critical_battery","4","0","3455","Manganese/Malachite/Feldspar","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Millenium Business systems Ltd","critical_battery","2","0","3314","Manganese/Gold/Niobium (Columbium)","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Happy Hills Minerals Limited","critical_battery","1","0","3150","Gold/Manganese/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"damashi resources limited.","gemstones","1","0","3141","Limestone (General)/Iron Ore/Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Joe's Earthworks and Mining Ltd","critical_battery","1","0","3086","Molybdenum/Manganese/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Kadam Manja Mining Company Limited","gold","1","0","3045","Gold/Silver/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Uni Mining and Construction Zambia Limited","gemstones","1","1","2941","Garnet/Tantalum/Tin","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"SK Civil Worksmen and Construction LTD","gemstones","4","0","2909","Nickel/Lead/Zinc","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"Jufa Transport & Logistics Limited","critical_battery","2","0","2885","Silver/Zinc/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","no"
"S.One Enterprises Limited","gemstones","2","0","2768","Iron Ore/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Giant Rock Mining Limited","gemstones","1","0","2519","Malachite/Lead/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"Geofreight Clearing, Forwarding and Trucking Limited","critical_battery","2","0","2415","Manganese/Silver/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
"ZCCM - IH Investments Holdings Plc","critical_battery","3","1","2349","Cobalt/Sand and Gravel/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","yes","yes"
"D.M Transport & Logistics Limited","gemstones","2","0","2344","Rare EarthsElements/Quartz/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence","no","no"
