"holder","segment","hectares","licenses","likely_reason"
"Freshpoint Mining Enterprises & General Suppliers Limited","gemstones","1300","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"G & G National Wide Import And Export Limited","critical_battery","41394","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"G & G National Wide Mining Zambia Limited","gemstones","102364","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"G & G National Wide Zambia Ltd","gemstones","113","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Gesso Mining & Investment Lilmited","industrial_minerals","8064","1","no corporate suffix — may be a trading name or an unincorporated venture"
"Graspers  Multi- Purpose Co-Operative Society Limited","gold","7","1","registers with Registrar of Cooperatives, not PACRA"
"GWK Earth Movers.Com Limited","gemstones","187","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"H.G High Grade Resources Limited","base_metals","13","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Haizhou Mining Resources Co. Limited","gold","1104","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Havfree International Trade (pty) Limited","critical_battery","11","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Headframe Resources (Z) Ltd","critical_battery","15341","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Headframe Resources (Zambia) Limited","critical_battery","13549","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Ikondo Mining Cooperative Society (IMCS)","gold","13","2","registers with Registrar of Cooperatives, not PACRA"
"Incara Company (Zambia) Limited","gemstones","769","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Izulu Lethu Mining & Trading Academy Limited","critical_battery","242","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"J.L.Cole Investments Limited","base_metals","153","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"J.S.Moyo Farms Limited","critical_battery","1219","4","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Jamba Mining & Marketing Ltd","gemstones","72","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Jenipher Ng'andu Mining & Services Limited","gold","396","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Joe's Earthworks and Mining Ltd","critical_battery","3086","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Johnny's Trading co. Limited","critical_battery","96008","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Jufa Transport & Logistics Limited","critical_battery","2885","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Kankan Mining Co. Limited","gemstones","68","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Kaole New  Dawn Mining Multipurpose  Cooperative Society Limited","critical_battery","7","1","registers with Registrar of Cooperatives, not PACRA"
"Kapesika Mining & Gold Processing","gemstones","509","2","no corporate suffix — may be a trading name or an unincorporated venture"
"Kilajits Engineering & Logistics Zambia Limited","critical_battery","5289","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"KMC Engineering & Construction Limited","critical_battery","944","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Lilume E.K.M Investment Limited","critical_battery","379","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"LSL CONSULTANCY & INVESTMENT LIMITED","critical_battery","111","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Lumwana Mining Co. Limited","gemstones","699256","12","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"LUSAC BUILDERS MULTI- PURPOSE  CO-OPERATIVE SOCIETY LIMITED","gemstones","13","2","registers with Registrar of Cooperatives, not PACRA"
"M & L Prudent Solutions Limited","gold","594","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"M.A.C General Dealers Limited","gemstones","189","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"M.G Mwanjisi Auto Parts Limited","gemstones","44","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Macrolink Resources (z)Limited","base_metals","367","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Mafula Minerals Resources  Limited","critical_battery","2623","1","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"Magnum Gulf Resources (Zambia) Limited","critical_battery","47698","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Maleka Mining & Farming Resources Limited","critical_battery","399","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Mapelo Gemstone Export Co. Limited","gemstones","60","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Marjohn Lukeka Mining & Exploration Company Limited","critical_battery","3555","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Menel Energy & Resources Limited","gold","96168","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Meridian Mining & Exploration Limited","gemstones","44322","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Minerals & Metals Corporation Zambia Limited","gemstones","321","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"MineralXplore Multi-Purpose  Cooperative Society limited","gold","20","3","registers with Registrar of Cooperatives, not PACRA"
"Misambo Enterprise & agro Limited","critical_battery","6900","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"MJF Exploration & Mining Limited","critical_battery","25238","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Mkumbacanoka Mining Co-operatives  Society Limited","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"MMG (Zambia) Exploration Limited","critical_battery","33639","4","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Montauk Mining & Minerals Limited","gold","21488","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Mukala Mineral  Co-operation Society Limited","gold","7","1","registers with Registrar of Cooperatives, not PACRA"
"Musamani Minerals and Agric. Limited","base_metals","476","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Mutobo Mining & General Dealers Limited","gemstones","945","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Muwamba Nyama Mining & Agricultural Cooperative Society","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"MWILA  J. CIVILS LIMITED","gemstones","976","2","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"N.I.C Investments Limited","critical_battery","77332","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Nash Import & Export Limited","gemstones","60964","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"NELEMU MULTI-PURPOSE  CO-OPERATIVE LIMITED","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"Neptune  Iron Ore Mining LTD","gemstones","33788","2","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"NGABWE KAPANDE MINING CO-OPERATIVE SOCIETY  LIMITED","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"N'gandu Mining Co-operative Society Limited","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"NISS SKY Spares and Accessories (1996) Limited","gemstones","67","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Northdale Explorations & Logistics Limited","industrial_minerals","979","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Nyakaula Gemstones (2019) Limited","gemstones","512","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Nyatungu  Multipurpose Coorperative  Society","gold","44","2","registers with Registrar of Cooperatives, not PACRA"
"Omex Mining(ZAMBIA) Limited","critical_battery","46639","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"One Candle (Zambia) Limited","critical_battery","14025","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Oscarios Mining & Exploration Limited","critical_battery","4649","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"P & C PRACH INVESTMENTS ZAMBIA LIMITED","critical_battery","48014","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"PEOPLE'S MULTI- PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","7","1","registers with Registrar of Cooperatives, not PACRA"
"Point & Line Technology Ltd","construction_materials","30","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Pricems Mining & Trading Limited","critical_battery","563","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"ROGMAT ENTERPRISES & GENERAL DEALERS LIMITED","critical_battery","371","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Roseberry Stone & Tile Limited","construction_materials","754","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"S.B Mineral Resources Limited","gemstones","1375","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"S.One Enterprises Limited","gemstones","2768","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"San He (Zambia) Limited","critical_battery","32155","6","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Shultz Mining  Limited","gemstones","128","1","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"Sichanzu Multipurpose Cooperative  society Limited","critical_battery","26","4","registers with Registrar of Cooperatives, not PACRA"
"Sino Great Development Company(Zambia) Limited","critical_battery","7592","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"SINOMINE INTERNATIONAL (ZAMBIA) ENGINEERING COMPANY LIMITED","gold","44554","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Sky Africa Engineering & Construction Limited","construction_materials","261","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Sonkolo Mines & General Dealers Ltd","critical_battery","392","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"STREAMVILLE HOLDING LIMITED  i","gold","2","1","register name has whitespace/encoding artefacts — likely a name-match failure, not absence"
"Suanni mining limited.","gemstones","83","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"SW & GVA Mining Company Ltd","base_metals","396","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Switty Properties & Real Estate Limited","critical_battery","45855","4","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Talang Mining Co. Limited","gemstones","887","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Tawakkal Gems Investments Co. Limited","gemstones","11423","4","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Tawakkal Gems Investments Co. Ltd","gemstones","997","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Tawakkal Mining Equipments & Auto Spares Limited","gemstones","30460","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"TCB Mines & Minerals Limited","gemstones","47659","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"True Ore Mines and Mineral (Zambia) Limited","gemstones","195","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"True Ore Mines and Minerals (Tomm) Private Limited","critical_battery","13","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"TRYTON CONSTRUCTION & ENGINEERING COMPANY LIMITED","industrial_minerals","43","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Twawilwa Multi Purpose Cooperative  Limited","gold","13","2","registers with Registrar of Cooperatives, not PACRA"
"United Alloys (Z) Limited","critical_battery","47","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"V.L Coal Mine Company Limited","gemstones","451","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"V.L Investment Company Limited","gemstones","9111","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"VS Construction & Mining Services Limited","critical_battery","174170","3","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"W.J.W Construction Limited","gold","397","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"W.M.M Investments Limited","critical_battery","41010","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Zamare Minerals ( Zambia) Limited","critical_battery","51225","5","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Zambian Limo Tours & Travel Limited","gemstones","233","2","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"Zhongdi Mining Group Corp.Ltd","critical_battery","31535","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
"ZM and P (B.V.I) Holdings Limited","critical_battery","26","1","has corporate suffix but no registry hit — spelling variance, deregistration, or genuine absence"
