"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"Learn To Share Mining Co-Operative Society Limited","gemstones","3","3","20","Gold/Quartz/Tin","3","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"LELO Mult-Purpose Co-operative Society Limited","gemstones","3","3","20","Manganese/Gold/Copper","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"CHALO MBANTHU YOUNG WOMEN MULTI-CO-OPERATIVE SOCIETY LIMITED","gemstones","3","3","20","Gold/Quartz/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mukala Mineral co-operative Society Limited","gold","3","3","20","Copper/Cobalt/Gold","3","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"MineralXplore Multi-Purpose  Cooperative Society limited","gold","3","3","20","Sand/Limestone (General)/Gold","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chelekapa Mult-Purpose Co-operative Society Limited","gemstones","4","4","19","Copper/Zinc/Tourmaline","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Makaasa Multi-Purpose Co-operative Society Limited","critical_battery","3","3","17","Quartz/Nickel/Rare EarthsElements","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Twafwilishane Multi-Purpose Co-operative Society Limited","critical_battery","2","2","13","Zinc/Lead/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Muchinga Route Multi-purpose Co-operative Society Limited","gemstones","2","2","13","Nickel/Anhydrite/Zinc","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Bwesu Ubunoshi Multipurpose Cooperative Society","critical_battery","2","2","13","Rare EarthsElements/Tantalum/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Twawilwa Multi Purpose Cooperative  Limited","gold","2","2","13","Gold","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"PROGRESSION YOUTH MULTI PURPOSE COOPERATIVE SOCIETY LIMITED","gold","2","2","13","Gold/Copper/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"AAL- Grace Mining Co-operative Society Limited","gold","2","2","13","Iron Ore/Zinc/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kalomona Mining Cooperative Society Limited","industrial_minerals","2","2","13","Quartz","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"MBOOZIBATEBULI MULTI- PURPOSE CO-OPERATIVE SOCIETY LIMITED","industrial_minerals","2","2","13","Quartz/Stone/Granite","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Fyakufolobolafye Mining Cooperative Society Limited","gemstones","2","2","13","Gold/Silver/Zinc","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mulonga Mining Cooperative Society Limited","gemstones","2","2","13","Lead/Anhydrite/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Benecho Women Multi-purpose Co-operative Society Limited","gemstones","2","2","13","Limestone (General)/Manganese/Anhydrite","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Faith Womens Mining Cooperative Society Limited","gemstones","2","2","13","Gold/Iron Ore/Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"QUICK SQUAD MULTI-PURPOSE COOPERATIVE LIMITED","gold","2","2","13","Copper/Cobalt/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Central Mining Local Multi-Purpose Co-operative Society Limited","critical_battery","2","2","13","Nickel/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"City Mine Multi-purpose Cooperative Society Limited","gemstones","2","2","13","Tungsten/Lithium/Rare EarthsElements","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"COMETOGETHER MULTI-PURPOSED CO-OPERATIVE SOCIETY LIMITED","gemstones","2","2","13","Rare EarthsElements/Silver/Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"KYASALAULA MULTIPURPOSE CO-OPERATIVE SOCIETY","critical_battery","2","2","13","Zinc/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Lumbeni Multi-purpose Co-operative Society Limited","critical_battery","2","2","13","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Ikondo Mining Cooperative Society (IMCS)","gold","2","2","13","Gold/Zinc/Copper","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"LUKUNKA CENTRAL MULTI -PURPOSE CO-OPERATIVE SOCIETY LIMITED","gold","2","2","13","Iron Ore/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Zambia Savings and Credit Union Cooperative Society Limited","gemstones","2","2","13","Iron Ore/Anhydrite/Gypsum","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"LUSAC BUILDERS MULTI- PURPOSE  CO-OPERATIVE SOCIETY LIMITED","gemstones","2","2","13","Nickel/Anhydrite/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mwandanga Mining And Crushing Multi-purpose Co-operative Society Limited","gemstones","2","2","13","Quartz/Iron Ore/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chibechatu Multi-purpose Co-operative Society Limited","gemstones","2","2","13","Nickel/Lithium/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chikoti Khisa-Mining Co-operative Society Limited","critical_battery","2","2","13","Quartz/Rare EarthsElements/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"CHINTUCHOMWE MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","2","2","13","Quartz/Nickel/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Front Page Multi-Purpose Cooperative Society Limited","gemstones","2","2","13","Clay (General)/Mineral Sands/Feldspar","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Lubalashi Co-operative Limited","industrial_minerals","2","2","13","Limestone (General)","2","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Solola Multi-purpose Co-operative","gold","2","2","13","Gold/Copper/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"NORTHWEST - LINE MULTIPURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","2","2","13","Zinc/Anhydrite/Quartz","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Endeavor Rise Multi-Purpose Co-operative Society Limited","gemstones","2","2","13","Gold/Gemstones/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Nyamphende Small Scale Mining Cooperative Society","gold","2","2","13","Quartz/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Lukamantano Youth Multi-Purpose Cooperative","critical_battery","1","1","7","Pyrite/Tin/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kamdothi Mining Cooperative","gemstones","1","1","7","Silver/Tourmaline/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Lukalia Mining Co-operative Society Limited","critical_battery","1","1","7","Manganese/Sand/Sugilite","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kasafya Youth Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Lugubbe Multi-Purpose Co-operative Society Limited","gold","1","1","7","Mica/Limestone (General)/Silica","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kamwambizi Small Scale Miners Co-operative Society Limited","gemstones","1","1","7","Quartz/Tourmaline/Aquamarine","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Madibba Resources Multipurpose Cooperative Society","gemstones","1","1","7","Quartz/Radium/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Makandwe Multi-purpose cooperative Society Limited","gold","1","1","7","Iron Ore/Silver/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Malemashi Copper Mult Purpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Silver/Tourmaline","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Malota Multpurpose Cooperative Society Limited","critical_battery","1","1","7","Limestone (General)/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"NKUSULULU MULTPURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Mineral Sands/Silver/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nkasekelela Multi-purpose cooperative society","gemstones","1","1","7","Gold/Malachite/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Nyanswa Mining Multi-Purpose Co-Operative Society Limited","gold","1","1","7","Iron Ore/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"NOK Mining Co-Operative Society Limited","gemstones","1","1","7","Manganese/Granite/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Graspers  Multi- Purpose Co-Operative Society Limited","gold","1","1","7","Iron Ore/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kaole New  Dawn Mining Multipurpose  Cooperative Society Limited","critical_battery","1","1","7","Manganese/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kamwambizi Small Scale Mines Mining Cooperative Society","unknown","1","1","7","","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kapanda Maano Multi- Purpose Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nkasekelela Multi-purpose Cooperative Society Limited","gold","1","1","7","Iron Ore/Lead/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nkulundundu Multi-purpose Cooperative","gold","1","1","7","Quartz/Silica/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kamuselula Mining Co- operative Society Limited","gold","1","1","7","Silver/Zinc/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mpavu Multi-Purpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Niobium (Columbium)/Aquamarine","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mufumbwe Mining Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Quartz/Nickel/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kauzu Nkhunzi Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Tourmaline/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Katotebujo Mullti-Purpose Co-operative Limited","gemstones","1","1","7","Iron Ore/Manganese/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Lavuponde Multi - Cooperative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Jungle Lion Mining Co-operative","gold","1","1","7","Gold/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mpanga Mining Cooperative Society Limited","gold","1","1","7","Platinum Group Metals/Silver/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kabipupu Multi Purpose Co-operative Society Limited","industrial_minerals","1","1","7","Silica/Stone/Sand and Gravel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mufwashi Mining Cooperative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Jesu Multi Purpose Cooperative Society Limited","gold","1","1","7","Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kyuulu Mutezhi Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Iron Ore/Gold/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kwetu Multi Purpose Co-operative Society Limited","gold","1","1","7","Quartz/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kyasalaula Multi-Purpose Co-operative Society Limited","gemstones","1","1","7","Nickel/Quartz/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Luchisaka Mining and Development Cooperative Limited","gemstones","1","1","7","Granite/Mica/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kennados Mining Ventures Co-operative Society Limited","gemstones","1","1","7","Silica/Tantalum/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Katuzumanana Mining Co-operative Society Limited","gold","1","1","7","Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Luapula Women In Extractive Mining Co-operative Society Limited","critical_battery","1","1","7","Iron Ore/Manganese/Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kudinkaku Multi-Purpose Society Limited","critical_battery","1","1","7","Limestone (General)/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kozoo mining multi -purpose cooperative society Limited","gold","1","1","7","Sand/Limestone (General)/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kilobo Multi-purpose Cooperative Society Limited","gold","1","1","7","Gold/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"New Generation Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Emerald/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Munalu Small Scale Mining Co-operative Society Limited","critical_battery","1","1","7","Tantalum/Tin/Tungsten","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Munyumakazi Mining Cooperative Limited","critical_battery","1","1","7","Iron Ore/Manganese/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mutane Akose Mining Coorperative Society Limited","critical_battery","1","1","7","Manganese/Sand/Silica","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"MUSOKONTWELELE MINING CO-OPERATIVE SOCIETY LIMITED","critical_battery","1","1","7","Manganese/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"MUTABI MUTANZI MULTI-PURPOSE CO-OPERATIVE SOCIETY","critical_battery","1","1","7","Manganese/Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"MUTUPA MINING MULT-PURPOSE COOPERATIVE SOCIETY LIMITED","construction_materials","1","1","7","Stone/Sand/Granite","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Muwamba Nyama Mining & Agricultural Cooperative Society","gemstones","1","1","7","Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mwatwiinda Multi Purpose Co-operative Society Limited","gemstones","1","1","7","Gold/Quartz/Amethyst","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Jach Multi-Purpose Cooperative","critical_battery","1","1","7","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mwapanda Corner Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Mineral Sands/Manganese/Sand","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Helment Boot-Mining Multi-purpose Cooperative Society Limited","gemstones","1","1","7","Mica/Lithium/Tantalum","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mweengwe Multi-Purpose Cooperative","gold","1","1","7","Gold/Lead/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Hillpot Mining Multipurpose Cooperative","critical_battery","1","1","7","Manganese/Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mwaze Multipurpose Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"namundela mining co-operative society limited","gemstones","1","1","7","Gold/Emerald/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mwaze Village Multi Purpose Cooperative","gold","1","1","7","Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mwaze Mining Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Ilola Datamuka Multi Purpose Co-operative Limited","critical_battery","1","1","7","Nickel/Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Myafi Mining Co-orperative Multi- Purpose Society","gemstones","1","1","7","Saprolite/Rare EarthsElements/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nabasuntwe Mining Ventures Co-operative Society Limited","gemstones","1","1","7","Garnet/Feldspar/Iron Ore","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Muyongo Shilenga Small Scale Mining Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Nyungu Artisanal Mining Multipurpose Co-operative Society Limited","gold","1","1","7","Mineral Sands/Silica/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"NGABWE KAPANDE MINING CO-OPERATIVE SOCIETY  LIMITED","gemstones","1","1","7","Quartz/Manganese/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Equitable Zambian Mining and Minerals Cooperative Society Limited","gemstones","1","1","7","Gold/Manganese/Mineral Sands","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Fair People Multi-Purpose Cooperative Society Limited","gemstones","1","1","7","Coal/Cobalt/Citrine","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"RHEMA MINING COOPERATIVE SOCIETY LIMITED","critical_battery","1","1","7","Malachite/Lead/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"NELEMU MULTI-PURPOSE  CO-OPERATIVE LIMITED","gemstones","1","1","7","Lead/Iron Ore/Anhydrite","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Havillah Multi-purpose Co-operative Limited","gemstones","1","1","7","Gemstones/Gold/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Happening Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Manganese/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"N'gandu Mining Co-operative Society Limited","gemstones","1","1","7","Iron Ore/Gravel/Lead","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Hanuunka Mining Cooperative Society LIMITED","industrial_minerals","1","1","7","Sandstone/Stone/Sand and Gravel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"golden silk multi-purpose co-operative society limited","critical_battery","1","1","7","Manganese/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Pachida Mining Cooperative Society Limited","gemstones","1","1","7","Iron Ore/Quartz/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Phillip Mining Cooperative Society Limited","gemstones","1","1","7","Limestone (General)/Gold/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Fisanamano Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
