"source","date","shipper","shipper_entity_id","consignee","product","hs_code","weight_kg","value_usd","origin","destination","url"
"ImportYeti (US CBP AMS sea import manifests)","2016-03-25","CNMC Luanshya Copper Mines Plc, PO Box 90456, Plot 867C Independence, Luanshya, Zambia",,"Gerald Metals, Morges, Switzerland (notify party Montreal, Canada)","Copper cathodes, bundles (187 packages, 21 containers)","7403.11","503601",,"Zambia","USA (Africa-US transatlantic entry)","https://www.importyeti.com/supplier/cnmc-luanshya-copper-mines"
"ImportYeti (US CBP AMS sea import manifests)","2015-02-26","Chambishi Metals Plc, Kitwe/Chingola Rd, Kitwe, Zambia (ERG cobalt refinery)",,"Shepherd Chemical Company, Athens, OH/Cincinnati area, USA","Cobalt metal in drums (40 drums, 1 container)",,"10512",,"Zambia","USA (transatlantic, carrier MSC)","https://www.importyeti.com/supplier/chambishi-metals"
"ImportYeti (US CBP AMS sea import manifests)","2015-03-26","Chambishi Metals Plc, Kitwe/Chingola Rd, Kitwe, Zambia (ERG cobalt refinery)",,"Shepherd Chemical Company, Athens, OH/Cincinnati area, USA","Cobalt metal in drums (55 drums, 1 container)",,"11660",,"Zambia","USA (transatlantic, carrier MSC)","https://www.importyeti.com/supplier/chambishi-metals"
"ImportYeti (US CBP AMS sea import manifests)","2020-01-13","Matalloy Company Ltd, Luanshya, Zambia (slag/alloy processor)",,"Celtic Marine Corp, Shrub Oak, NY, USA","Earth and stone / ores (metallurgical slag or alloy material)",,"149380",,"Zambia (via Durban load port)","USA","https://www.importyeti.com/supplier/matalloy"
"ImportYeti (US CBP AMS sea import manifests)","2020-08-23","Matalloy Company Ltd, Luanshya, Zambia (slag/alloy processor)",,"Celtic Marine Corp, Mount Sinai, NY, USA","Earth and stone / ores (metallurgical slag or alloy material)",,"125126",,"Zambia","USA","https://www.importyeti.com/supplier/matalloy"
"ImportYeti (US CBP AMS sea import manifests)","2015-06-30","First Quantum Mining & Operations, Solwezi District, Zambia",,"Michelin North America Inc, Greenville, SC, USA","Used/returned mining tyres, assorted sizes XDR (14 units, 5 containers)","3204.16 (as recorded on manifest)","79001",,"Zambia","USA (carrier Maersk)","https://www.importyeti.com/supplier/first-quantum-mining-operations"
"ImportYeti (US CBP AMS sea import manifests)","2016-08-05","Kalumbila Minerals Ltd (FQM Sentinel/Trident), Solwezi District, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Miscellaneous chemicals (5 pieces, 1 container)",,"70960",,"Zambia (via Durban)","Houston, TX, USA (in transit to Panama)","https://www.importyeti.com/supplier/kalumbila-minerals"
"ImportYeti (US CBP AMS sea import manifests)","2019-01-16","Kalumbila Minerals Ltd (FQM Sentinel/Trident), Solwezi District, Zambia",,"Komatsu America Corp, USA","Machinery part in crate (1 crate)",,"1024",,"Zambia","USA","https://www.importyeti.com/supplier/kalumbila-minerals"
"ImportYeti (US CBP AMS sea import manifests)","2020-02-13","Kalumbila Minerals Ltd (FQM Sentinel/Trident), Solwezi District, Zambia",,"Minera Panama S A, Distrito de Panama, Panama (FQM intra-group)","Mining equipment/machinery, breakbulk (1 package)",,"87700",,"Zambia (via Durban)","Houston, TX, USA (in transit to Panama)","https://www.importyeti.com/supplier/kalumbila-minerals"
"ImportYeti (US CBP AMS sea import manifests)","2020-02-13","Kalumbila Minerals Ltd (FQM Sentinel/Trident), Solwezi District, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Mining equipment/machinery (1 package, 1 container)",,"16000",,"Zambia (via Durban)","Houston, TX, USA (in transit to Panama)","https://www.importyeti.com/supplier/kalumbila-minerals"
"ImportYeti (US CBP AMS sea import manifests)","2020-02-13","Kalumbila Minerals Ltd (FQM Sentinel/Trident), Solwezi District, Zambia",,"Minera Panama S A, Panama (FQM intra-group)","Mining equipment/machinery (1 package, 1 container)",,"16000",,"Zambia (via Durban)","Houston, TX, USA (in transit to Panama)","https://www.importyeti.com/supplier/kalumbila-minerals"
"ImportYeti (US CBP AMS sea import manifests) - inbound to Zambia entity","2016-03-29","Charles Tennant & Company, Canada",,"Konkola Copper Mines (US notify address New York, NY; operations Chililabombwe, Zambia)","Organic chemicals - flotation reagents (1 container)",,"13200",,"Canada","USA (in transit to KCM Zambia)","https://www.importyeti.com/company/konkola-copper-mines"
"ImportYeti (US CBP AMS sea import manifests) - inbound to Zambia entity","2019-12-08","Prospec Chemicals, Alberta, Canada",,"Konkola Copper Mines (US notify address New York, NY; operations Chililabombwe, Zambia)","Sodium isopropyl xanthate (flotation reagent), drums (3 containers)","2930.90.24","39600",,"Canada","USA (in transit to KCM Zambia)","https://www.importyeti.com/company/konkola-copper-mines"
"ImportYeti (US CBP AMS sea import manifests) - inbound to Zambia entity","2025-09-23","Prospec Chemicals, Sturgeon County, Alberta, Canada",,"Konkola Copper Mines (US notify address New York, NY; operations Chililabombwe, Zambia)","Organic chemicals - xanthate flotation reagents, drums (3 containers)","2930.90.24","39600",,"Canada","USA (in transit to KCM Zambia)","https://www.importyeti.com/company/konkola-copper-mines"
