"entity_id","entity","facility","year","metric","value","unit","as_of_date","source_name","source_url","note"
,"Chambishi Metals Plc (ERG 90% / ZCCM-IH 10%)","Chambishi cobalt/copper refinery",,"capacity_tpa","6800","tonnes cobalt metal per annum","2020-01 (on care & maintenance since)","Eurasian Resources Group (Luxembourg) enterprise page","https://www.eurasianresources.lu/en/pages/all-enterprises/chambishi-metals-plc.html","Verified on ERG page: '6,800 tpa cobalt metal', acquired 2010, currently on care and maintenance. ZCCM-IH 10% stake per Investing News Network (https://investingnews.com/daily/resource-investing/battery-metals-investing/cobalt-investing/erg-chambishi-metals-suspends-cobalt-production-zambia/)."
"CHAMBISHI_METALS","Chambishi Metals Plc","Chambishi cobalt/copper refinery",,"capacity_tpa","55000","tonnes Grade A copper metal per annum","2020-01","Eurasian Resources Group enterprise page","https://www.eurasianresources.lu/en/pages/all-enterprises/chambishi-metals-plc.html","Placed on care and maintenance end-Jan 2020 due to concentrate shortage after Zambia's 5% import duty on concentrates (Mining.com: https://www.mining.com/web/erg-suspends-zambia-refinery-on-shortage-of-cobalt-copper-concentrates-2/). No published financials found."
,"CNMC Luanshya Copper Mines Plc (CNMC 80% / ZCCM-IH 20%)",,,"transaction_value_usd","50000000","USD","2009-06","Industrial Info Resources","https://www.industrialinfo.com/news/article.jsp?newsitemID=147753","CNMC acquired majority stake in Luanshya Copper Mines from Enya Holdings BV for US$50m. IIR headline says 85%; ZCCM-IH investment page (https://www.zccm-ih.com.zm/investments/mining-assets/cnmc-luanshya-copper-mines-plc/) states CNMC 80% / ZCCM-IH 20%."
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc",,,"investment_committed_usd","400000000","USD","2009-06","Industrial Info Resources","https://www.industrialinfo.com/news/article.jsp?newsitemID=147753","US$400m investment commitment announced alongside the 2009 acquisition (mine restart + Muliashi development)."
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc","Muliashi project (Muliashi North Mine + Leach Plant)",,"construction_cost_usd","368000000","USD","2012-04 (first cathode 27 Apr 2012)","CNMC press release 'Muliashi Project Commenced Production' (via Land Matrix archive)","https://landmatrix.org/media/uploads/cnmccomcndetailenjsparticle_millseconds1342084372281column_no0114.pdf","'The Muliashi Project, which bears investment of US$368 million, commenced production.' CNMC news (https://cnmcl.net/en/news-center/corporate-news/20180103/) separately cites US$340m for the Muliashi smelting/leach plant with designed output 40,000 tpa cathode."
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc","Muliashi leach plant",,"capacity_tpa","40000","tonnes copper cathode per annum (design)","2012","CNMC (China Nonferrous Mining Corp) corporate news","https://cnmcl.net/en/news-center/corporate-news/20180103/","Designed annual output 40,000 t cathode copper; commissioned April 2012."
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines Plc","Luanshya (incl. Shaft 28 restart)",,"investment_committed_usd","1300000000","USD","2023-09","ZCCM-IH investment page (news item)","https://www.zccm-ih.com.zm/investments/mining-assets/cnmc-luanshya-copper-mines-plc/","'CNMC to invest US$1.3bn' announced September 2023 (Shaft 28 / expansion program)."
,"NFC Africa Mining Plc (CNMC 85% / ZCCM-IH 15%)","Chambishi Main mine",,"transaction_value_usd","20000000","USD","1998","Institute of Developing Economies (IDE-JETRO)","https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_08.html","'Purchase of an 85 percent stake of Chambishi copper mine for about US$20 million in 1998.' Same source: >US$200m subsequent investment inflow incl. smelter plants; mine capacity reached 150,000 t of copper (ore basis context) in 2008. ZCCM-IH page (https://www.zccm-ih.com.zm/investments/mining-assets/nfc-africa-plc/) shows ZCCM-IH 15%."
"NFCA","NFC Africa Mining Plc","Chambishi South East Ore Body (SEOB)",,"capex_usd","832000000","USD","2018 (commissioned mid-2018)","ZCCM-IH investment page - NFC Africa Mining Plc","https://www.zccm-ih.com.zm/investments/mining-assets/nfc-africa-plc/","'NFCA officially commissioned the USD832 million South East Ore Body project mid-2018, extending the life of mine by 20 years.' Reuters-sourced ZCCM-IH repost (https://www.zccm-ih.com.zm/2018/08/22/chinese-firm-launches-832-million-zambia-copper-mine/) adds >$500m spent by Aug 2018."
"NFCA","NFC Africa Mining Plc","Chambishi SEOB",,"capacity_tpa","60000","tonnes contained copper per annum at full production (3.3 Mtpa ore)","2018","ZCCM-IH investment page - NFC Africa Mining Plc","https://www.zccm-ih.com.zm/investments/mining-assets/nfc-africa-plc/","Design annual capacity 3.3 Mt ore containing 60,000 t copper."
"NFCA","NFC Africa Mining Plc","Chambishi mines (Main, West, SEOB)","2025","production_tonnes","70000","tonnes copper per annum (approx., current)","2025","CNMC company profile","https://cnmcl.net/en/about-us/company-profile/","Profile states mining/processing capacity exceeds 4 Mt/yr ore with copper output 'approximately 70,000 tons' annually. Approximate company-stated figure, not an audited production number."
,"Sino-Metals Leach Zambia Ltd (CNMC 55% / HK Zhongfei 30% / NFCA 15%)","Mwambashi mine + Chambishi leach plant",,"capex_usd","70000000","USD","2017 (Mwambashi development)","China Daily","https://global.chinadaily.com.cn/a/202409/05/WS66d90d0ba3108f29c1fca3f2.html","'With an investment of about $70 million', Mwambashi Mine targeting 10,000 tpa copper cathode. Company operates Chambishi leach plant since 2006."
"SINO_METALS","Sino-Metals Leach Zambia Ltd","Chambishi leach plant","2013","production_tonnes","4002","tonnes copper cathode","2013-12-31","USGS Minerals Yearbook, Zambia 2013","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2013/myb3-2013-za.pdf","Figure surfaced from USGS 2013 Zambia yearbook via search; ownership split (55/30/15) from same source. On 18 Feb 2025 the company's tailings dam collapsed, releasing ~50 million litres of acidic waste into the Kafue river system (Wikipedia: https://en.wikipedia.org/wiki/2025_Sino-Metals_Leach_Zambia_dam_disaster; HRW: https://www.hrw.org/news/2025/09/11/zambia-acid-spill-jeopardizes-residents-health)."
"LUBAMBE","Lubambe Copper Mine Ltd",,,"transaction_value_usd","97100000","USD","2017-12 (completed 28 Dec 2017)","S&P Global Market Intelligence","https://www.spglobal.com/marketintelligence/en/news-insights/trending/ydr2w1nfunsfcnv_0w2kvq2","EMR Capital acquired 80% of Lubambe from Vale International and African Rainbow Minerals for US$97.1m (announced Aug 2017). Australian Mining reported a $124m headline figure incl. other elements (https://www.australianmining.com.au/emr-secures-124m-copper-acquisition-vale-african-rainbow-minerals/)."
"LUBAMBE","Lubambe Copper Mine Ltd",,,"transaction_value_usd","1","USD (nominal consideration)","2024-07-10 (completed; agreed 2024-01-21)","MarketScreener deal record","https://www.marketscreener.com/quote/stock/JCHX-MINING-MANAGEMENT-CO-23682505/news/JCHX-Mining-Management-Co-Ltd-agreed-to-acquire-80-stake-in-Lubambe-Copper-Mine-Ltd-from-EMR-Cap-45828351/","JCHX (via Sundimo Mining Investments) acquired EMR's 80% for a nominal '$0.000001 million' — effectively a token price with assumption of the distressed mine's liabilities. ZCCM-IH confirmation: https://diggers.news/business/2024/07/11/zccm-ih-confirms-sale-of-lubambe-to-jchx/. Post-deal restructuring left ZCCM-IH with 30% and JCHX 70% per ZCCM-IH investment page (https://www.zccm-ih.com.zm/investments/mining-assets/lubambe-copper-mines-plc/). The ~$857m figure in the task brief (project debt context) was NOT found in any published source."
"LUBAMBE","Lubambe Copper Mine Ltd",,,"investment_committed_usd","300000000","USD","2024-07","Ecofin Agency / Mining Technology","https://www.ecofinagency.com/mining/1507-45727-chinese-firm-jchx-to-invest-300-million-in-zambias-lubambe-copper-mine","JCHX to invest ~US$300m in operations and life-of-mine extension (also https://www.mining-technology.com/news/chinas-jchx-lubambe-copper-mine/; ZCCM-IH statement in diggers.news confirms 'US$300 million into Lubambe')."
"LUBAMBE","Lubambe Copper Mine Ltd",,"2023","production_tonnes","14984","tonnes payable copper","2023 (FY per 2023 annual report extract)","ZCCM-IH, Lubambe extract from 2023 Annual Report","https://www.zccm-ih.com.zm/2023/09/14/lubambe-copper-mines-limited-extract-from-2023-annual-report/","14,984 t payable copper vs budget of 22,979 t; production hindered by ground conditions, dewatering, dilution."
"LUBAMBE","Lubambe Copper Mine Ltd",,,"capacity_tpa","45000","tonnes contained copper in concentrate per annum (design)","2025","ZCCM-IH investment page - Lubambe Copper Mines Plc","https://www.zccm-ih.com.zm/investments/mining-assets/lubambe-copper-mines-plc/","Concentrator design: 2.5 Mtpa ore at 2.3% Cu yielding 45,000 t contained copper; currently ramping up under JCHX."
,"Chibuluma Mines Plc (Jinchuan/Metorex 85% / ZCCM-IH 15%)","Chibuluma South / Chifupu","2019","production_tonnes","10000","tonnes copper in concentrates per annum (approx.)","circa 2019 (pre care & maintenance)","Metorex Group - Chibuluma Copper Mines","https://www.metorexgroup.com/mine/chibuluma-mines/","'The Company currently produces 10 000 tons of copper in concentrates per year.' Mine placed on care & maintenance 1 July 2020, then leased to Lian Chao and Yue Ventures Ltd (LC&Y) per ZCCM-IH annual report summaries (https://www.zccm-ih.com.zm/category/all-posts/investee-companies/annual-report-summaries/page/6/) and Jinchuan (http://en.jnmc.com/2022-06/25/c_784243.htm). NO published sale value for any 2017-2021 ownership transfer was found — the arrangement documented is a lease, not a sale; Jinchuan/ZCCM-IH shareholding unchanged in published sources."
,"Mimbula Minerals Ltd (Moxico Resources)","Mimbula Copper Project",,"capacity_tpa","10000","tonnes copper cathode per annum (Phase 1)","2022-12 (Phase 1 start)","Moxico Resources - Zambia Operations","https://www.moxicoresources.com/projects/republic-of-zambia/operations","Phase 1 heap leach SX/EW, 10,000 tpa from Dec 2022; first Phase 2 stage doubled capacity to 20,000 tpa (first cathode Jan 2024)."
,"Mimbula Minerals Ltd (Moxico Resources)","Mimbula Copper Project",,"capacity_tpa","56000","tonnes copper cathode per annum (Phase 2 target)","target mid-2026","Moxico Resources - Zambia Operations","https://www.moxicoresources.com/projects/republic-of-zambia/operations","Phase 2 expands to 56,000 tpa via 46,000 tpa agitated leach + SX/EW circuit."
,"Mimbula Minerals Ltd (Moxico Resources)","Mimbula Copper Project",,"investment_committed_usd","100000000","USD","2022-04","Bizcommunity Zambia","https://www.bizcommunity.co.zm/Article/237/608/226795.html","Moxico announced ~$100m investment to expand Mimbula (April 2022)."
,"Mimbula Minerals Ltd (Moxico Resources)","Mimbula Copper Project","2024","production_tonnes","14000","tonnes copper cathode","2024-12-31","Mining.com (Ecora stream announcement)","https://www.mining.com/ecora-inks-50m-streaming-deal-for-zambian-copper-mine/","Mimbula produced ~14 kt copper cathode in 2024."
,"Mimbula Minerals Ltd (Moxico Resources)","Mimbula Copper Project",,"transaction_value_usd","50000000","USD (copper stream financing)","2025","Mining Technology - Ecora copper stream","https://www.mining-technology.com/news/ecora-moxicos-mimbula-mine/","Ecora Resources $50m producing copper stream on Mimbula, 11-year LOM, copper delivered at 30% of quarterly average LME price. Separately Queen's Road Capital invested US$50m in Moxico Resources plc (https://queensrdcapital.com/news/queens-road-capital-announces-us-50-million-investment-in-moxico-resources-plc/). NO Trafigura deal found in published sources."
,"Universal Mining and Chemical Industries Ltd (UMCIL, Trade Kings)","Kafue Steel Plant",,"construction_cost_usd","120000000","USD (Phase 1)","2007 (phase 1 completed)","Chalo Chatu Zambia encyclopedia (via search; direct fetch returned 403)","https://chalochatu.org/Universal_Mining_&_Chemical_Industries_Limited","US$120m to establish iron and steel plant at Kafue; phase 1 completed 2007, ~7,000 t/month rolled products; planned DRI phase 2 >US$100m. Figure seen only in search-result snippets of this page — verify against primary before publication."
,"Universal Mining and Chemical Industries Ltd (UMCIL)","Kafue Steel Plant",,"capacity_tpa","250000","tonnes steel per annum (installed)","circa 2013","Zambian Mining News","https://www.miningnewszambia.com/universal-mining-invests-k70bn-in-iron-ore-plant/","Installed capacity 250,000 tpa; actual production ~120,000 tpa at the time. Same article: K70 billion (old kwacha) investment in Sanje Hill iron ore mining west of Kafue."
,"Kansanshi Mining Plc (First Quantum 80% / ZCCM-IH 20%)","Kansanshi mine","2022","revenue_usd","1706000000","USD","2022-12-31","First Quantum Minerals 2023 Annual Report, Note 23 Segmented Information","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Kansanshi segment revenue $1,706m for FY2022 per audited consolidated financial statements (PDF fetched and text-extracted; comparative column of FY2023 statements)."
,"Kansanshi Mining Plc (First Quantum 80% / ZCCM-IH 20%)","Kansanshi mine","2023","revenue_usd","1598000000","USD","2023-12-31","First Quantum Minerals 2023 Annual Report, Note 23 Segmented Information","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Kansanshi segment revenue $1,598m for FY2023 (PDF fetched). Lower than 2022 on reduced grades/throughput."
,"Kansanshi Mining Plc (First Quantum 80% / ZCCM-IH 20%)","Kansanshi mine","2024","revenue_usd","2059000000","USD","2024-12-31","First Quantum Minerals 2025 Annual Report, Note 22 Segmented Information","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Kansanshi segment revenue $2,059m for FY2024 (comparative column of FY2025 audited statements; PDF fetched from first-quantum.com)."
,"Kansanshi Mining Plc (First Quantum 80% / ZCCM-IH 20%)","Kansanshi mine","2025","revenue_usd","2375000000","USD","2025-12-31","First Quantum Minerals 2025 Annual Report, Note 22 Segmented Information","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Kansanshi segment revenue $2,375m for FY2025 (PDF fetched), boosted by S3 expansion ramp-up and higher copper prices."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2022","production_tonnes","146282","tonnes copper (cathode + concentrate)","2022-12-31","First Quantum Minerals 2023 Annual Report production tables","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Kansanshi total copper production 146,282 t in 2022 (PDF fetched)."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2023","production_tonnes","134827","tonnes copper (cathode + concentrate)","2023-12-31","First Quantum Minerals 2023 Annual Report production tables","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Kansanshi produced 134,827 t copper in 2023, 8% lower than 2022 (PDF fetched)."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2024","production_tonnes","170929","tonnes copper (cathode + concentrate)","2024-12-31","First Quantum Minerals 2025 Annual Report production tables","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Kansanshi 2024 total copper production 170,929 t (comparative column, PDF fetched); highest since 2021, driven by improved grade control. Rounded to 171kt in FQM Q4 2024 news release (https://www.first-quantum.com/news/first-quantum-minerals-reports-fourth-quarter-2024-results/)."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2025","production_tonnes","181183","tonnes copper (cathode + concentrate)","2025-12-31","First Quantum Minerals 2025 Annual Report","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Kansanshi produced 181,183 t copper in 2025, highest annual production since 2021; includes 25kt from S3 (commercial production declared 1 Dec 2025). PDF fetched."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi S3 Expansion (standalone 25 Mtpa plant + smelter upgrade)",,"investment_committed_usd","1250000000","USD","2022-05-08 (board approval)","First Quantum news release: Board Approval of the Kansanshi S3 Expansion","https://www.globenewswire.com/news-release/2022/05/08/2438156/0/en/First-Quantum-Announces-Board-Approval-of-the-Kansanshi-S3-Expansion-and-Enterprise-Nickel-Project.html","Total S3 capex $1.25bn: $900m S3 plant + mine fleet, $350m South East Dome pre-stripping; smelter throughput to rise 1.38 to 1.65 Mtpa (search result URL, figures confirmed across FQM PR and Mining Weekly https://www.miningweekly.com/article/first-quantum-approves-135bn-capex-for-kansanshi-expansion-enterprise-projects-2022-05-09). Commercial production declared 1 December 2025 per FQM 2025 Annual Report (fetched)."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2022","payments_to_govt_usd","17660000","USD (gross revenue royalty paid to state-owned ZCCM-IH)","2022-12-31","Mwebantu: ZCCM-IH earns US$110.6 million in royalties from Kansanshi","https://www.mwebantu.com/zccm-ih-earns-us110-6-million-in-royalties-from-kansanshi/","Fetched article (published 14 Mar 2026): 3.1% gross revenue royalty payments to ZCCM-IH were US$17.66m (2022), US$38.48m (2023), US$54.51m (2024), cumulative US$110.64m. Royalty replaced ZCCM-IH's 20% dividend rights, approved at EGM 31 Mar 2023 (https://www.zccm-ih.com.zm/2023/04/27/shareholder-update-shareholders-approve-conversion-of-dividend-rights-to-gross-revenue-royalty-rights-in-kansanshi-mining-plc/), completed 4 Apr 2023 per FQM financial statements."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2023","payments_to_govt_usd","38480000","USD (gross revenue royalty paid to state-owned ZCCM-IH)","2023-12-31","Mwebantu: ZCCM-IH earns US$110.6 million in royalties from Kansanshi","https://www.mwebantu.com/zccm-ih-earns-us110-6-million-in-royalties-from-kansanshi/","Fetched article. 3.1% GRR effective from 4 Apr 2023 conversion, so 2023 is a partial-year figure. A ZCCM-IH-linked figure of ZMW1,200.19m (US$56.13m) royalties 'received in 2023' appears in other summaries (accrual vs cash timing differences)."
"KANSANSHI","Kansanshi Mining Plc","Kansanshi mine","2024","payments_to_govt_usd","54510000","USD (gross revenue royalty paid to state-owned ZCCM-IH)","2024-12-31","Mwebantu: ZCCM-IH earns US$110.6 million in royalties from Kansanshi","https://www.mwebantu.com/zccm-ih-earns-us110-6-million-in-royalties-from-kansanshi/","Fetched article. Kansanshi declared no dividends in 2023-24, so the 3.1% royalty was ZCCM-IH's only Kansanshi income in those years (context: https://zambianobserver.com/why-zccm-ihs-royalty-model-could-reshape-state-returns/)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine (Trident segment)","2022","revenue_usd","1980000000","USD","2022-12-31","First Quantum Minerals 2023 Annual Report, Note 23 Segmented Information","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Trident segment revenue $1,980m for FY2022 (PDF fetched). Trident = Sentinel copper mine + Enterprise nickel project."
,"FQM Trident Ltd (First Quantum)","Sentinel mine (Trident segment)","2023","revenue_usd","1665000000","USD","2023-12-31","First Quantum Minerals 2023 Annual Report, Note 23 Segmented Information","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Trident segment revenue $1,665m for FY2023, including $21m Enterprise nickel pre-commercial revenue (PDF fetched)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine (Trident segment)","2024","revenue_usd","2196000000","USD","2024-12-31","First Quantum Minerals 2025 Annual Report, Note 22 Segmented Information","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Trident segment revenue $2,196m for FY2024 (PDF fetched). Enterprise nickel declared commercial production 1 June 2024."
,"FQM Trident Ltd (First Quantum)","Sentinel mine (Trident segment)","2025","revenue_usd","2089000000","USD","2025-12-31","First Quantum Minerals 2025 Annual Report, Note 22 Segmented Information","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Trident segment revenue $2,089m for FY2025 despite 18% lower Sentinel copper production, offset by higher copper prices (PDF fetched)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine","2022","production_tonnes","242451","tonnes copper","2022-12-31","First Quantum Minerals 2023 Annual Report production tables","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Sentinel copper production 242,451 t in 2022 (PDF fetched)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine","2023","production_tonnes","214046","tonnes copper","2023-12-31","First Quantum Minerals 2023 Annual Report production tables","https://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2023.pdf","Sentinel copper production 214,046 t in 2023, 12% lower than 2022 on lower throughput (PDF fetched)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine","2024","production_tonnes","230792","tonnes copper","2024-12-31","First Quantum Minerals 2025 Annual Report production tables","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Sentinel copper production 230,792 t in 2024, highest average grades since 2017 (comparative column, PDF fetched)."
,"FQM Trident Ltd (First Quantum)","Sentinel mine","2025","production_tonnes","189040","tonnes copper","2025-12-31","First Quantum Minerals 2025 Annual Report","https://www.first-quantum.com/wp-content/uploads/2026/03/First-Quantum-2025-AR-Final-Web.pdf","Sentinel copper production 189,040 t in 2025, 18% lower than 2024 due to lower grades as mining transitioned between phases (PDF fetched)."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2022","revenue_usd","868000000","USD","2022-12-31","Barrick Gold FY2023 40-F, Exhibit 99.3 financial statements (segment note)","https://www.sec.gov/Archives/edgar/data/756894/000119312524068583/d643214dex993.htm","Lumwana segment revenue $868m for FY2022 (SEC filing fetched and text-extracted)."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2023","revenue_usd","795000000","USD","2023-12-31","Barrick FY2024 40-F, Exhibit 99.3 financial statements (segment note)","https://www.sec.gov/Archives/edgar/data/756894/000119312525054500/d910692dex993.htm","Lumwana segment revenue $795m for FY2023 (SEC filing fetched; same figure in FY2023 40-F https://www.sec.gov/Archives/edgar/data/756894/000119312524068583/d643214dex993.htm)."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2024","revenue_usd","855000000","USD","2024-12-31","Barrick Mining Corp FY2024 40-F, Exhibit 99.3 financial statements (segment note)","https://www.sec.gov/Archives/edgar/data/756894/000119312525054500/d910692dex993.htm","Lumwana segment revenue $855m for FY2024 (SEC filing fetched). Barrick also recorded a $655m impairment reversal at Lumwana in Q4 2024 reflecting increased confidence in the Super Pit expansion after feasibility study completion."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2022","capex_usd","380000000","USD (segment capital expenditures, accrual basis)","2022-12-31","Barrick Gold FY2023 40-F, Exhibit 99.3 (segment capital expenditures table)","https://www.sec.gov/Archives/edgar/data/756894/000119312524068583/d643214dex993.htm","Lumwana segment capex $380m in 2022 (SEC filing fetched)."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2023","capex_usd","320000000","USD (segment capital expenditures, accrual basis)","2023-12-31","Barrick FY2024 40-F, Exhibit 99.3 (segment capital expenditures table)","https://www.sec.gov/Archives/edgar/data/756894/000119312525054500/d910692dex993.htm","Lumwana segment capex $320m in 2023 (SEC filing fetched). Additionally $37m of Super Pit project costs expensed in 2023."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2024","capex_usd","457000000","USD (segment capital expenditures, accrual basis)","2024-12-31","Barrick Mining Corp FY2024 40-F, Exhibit 99.3 (segment capital expenditures table)","https://www.sec.gov/Archives/edgar/data/756894/000119312525054500/d910692dex993.htm","Lumwana segment capex $457m in 2024, up from $320m as Super Pit early works began (SEC filing fetched)."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine","2024","production_tonnes","123000","tonnes copper (100% basis)","2024-12-31","Barrick Q4/full-year 2024 results news release","https://www.globenewswire.com/news-release/2025/02/12/3024843/0/en/Barrick-Delivers-Strong-Year-End-Performance-While-Advancing-Key-Growth-Projects.html","Lumwana produced 123,000 t copper in 2024; C1 cash cost $2.23/lb, cost of sales $2.94/lb (fetched). 2025 guidance 125-155kt."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana Super Pit expansion",,"investment_committed_usd","2000000000","USD","2024-10 (expansion officially launched)","Barrick news release: Lumwana's Super Pit Expansion Officially Launched","https://www.barrick.com/English/news/news-details/2024/lumwana-super-pit-expansion-officially-launched/default.aspx","$2bn total project capital (search result URL; $2bn figure also confirmed in fetched Barrick Q4 2024 results release). Doubles throughput 27 to ~52-54 Mtpa; life-of-mine average ~240ktpa copper; first production targeted 2028; mine life to 2057."
,"Lumwana Mining Company Ltd (Barrick, 100%)","Lumwana mine (via Equinox Minerals takeover)",,"transaction_value_usd","7600000000","USD (C$7.3 billion at announcement)","2011-06 (offer closed)","Barrick news release: Barrick Announces Agreement to Acquire Equinox","https://www.barrick.com/English/news/news-details/2011/Barrick-Announces-Agreement-to-Acquire-Equinox/default.aspx","Barrick acquired Equinox Minerals - whose principal asset was the 100%-owned Lumwana mine - for C$8.15/share cash, ~C$7.3bn (~US$7.6bn), outbidding Minmetals (search result URLs: Barrick PR and https://www.globenewswire.com/en/news-release/2011/04/25/1387813/0/en/Barrick-Announces-Agreement-to-Acquire-Equinox.html). Deal also included Jabal Sayid project (Saudi Arabia), so not 100% attributable to Lumwana."
,"Konkola Copper Mines Plc (Vedanta 79.4% / ZCCM-IH 20.6%)","Konkola, Nchanga, Nampundwe operations",,"transaction_value_usd","48200000","USD (cash consideration for 51%)","2004-11-05 (completed)","Lexpert deal record: Vedanta Acquires Interest in Konkola Copper Mines","https://www.lexpert.ca/big-deals/vedanta-acquires-interest-in-konkola-copper-mines/345606","Vedanta Resources paid US$48.2m cash for 51% of KCM; aggregate transaction value ~US$270m including a US$220m commitment to fund KCM cash flows and US$1m toward the Konkola Deep feasibility study (search result). Vedanta later increased its stake to 79.4% (ZCCM-IH 20.6%)."
