"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Minsundu Gemstone Mining Limited","gemstones","MINSUNDU GEMSTONE MINING LIMITED","120180006274","27/07/2018","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 25/07/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mirage Investments Limited","critical_battery","MIRAGE INVESTMENTS LIMITED","120090079318","26/06/2009","Other transportation support activities","Active","Local Company - Limited by Shares","5229. Other transportation support activities","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/03/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Miratorg Investments Limited","gemstones","MIRATORG INVESTMENTS LIMITED","120220037686","17/08/2022","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mirene Investments Limited","gemstones","MIRENE INVESTMENTS LIMITED","120120108050","20/12/2012","Processing and preserving of fruit and vegetables","Active","Local Company - Limited by Shares","1030. Processing and preserving of fruit and vegetables","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 12/12/2022. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mirkal Enterprises Limited","critical_battery","MIRKAL ENTERPRISES LIMITED","120200006776","24/08/2020","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 28/05/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Misambo Enterprise & agro Limited","critical_battery","MISAMBO ENTERPRISE AND AGRO LIMITED","120180007158","27/08/2018","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","0",,,
"Mise Mining Limited","critical_battery","MISE MINING LIMITED","120220042363","23/11/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 23/11/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Misheck Minerals Exploration Limited","gold","MISHECK MINERAL EXPLORATION LIMITED","120190004042","23/05/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2020. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Misoler Investment Limited","critical_battery","MISOLER INVESTMENT LIMITED","120230056698","18/09/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/09/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mistique Trading Limited","critical_battery","MISTIQUE TRADING LIMITED","120210021186","24/09/2021"," Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 24/09/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mitchell Cotts Mining Limited","gemstones","MITCHELL COTTS MINING LIMITED","120150132200","11/05/2015","Other manufacturing n.e.c.","Active","Local Company - Limited by Shares","3290. Other manufacturing n.e.c.","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Mitondo Mining Company Limited","gemstones","MITONDO MINING COMPANY LIMITED","119870016329","05/11/1987","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/11/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"MJAC Minerals Company Limited","gemstones","MJAC MINERALS COMPANY LIMITED","120241011447","18/08/2024","Mining of iron ores","Active","Local Company - Unlimited","0710. Mining of iron ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 15/08/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"MJF Exploration & Mining Limited","critical_battery","MJF EXPLORATION AND MINING LIMITED","120210020138","03/09/2021","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","0","1","0",,,
"MJK Resources Zambia Limited","critical_battery","MJK RESOURCES ZAMBIA LIMITED","120190003495","03/05/2019","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/03/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mkula Mining Limited","gold","MKULA MINING LIMITED","120140122274","12/05/2014","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 07/05/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mkumbacanoka Mining Co-operatives  Society Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mkushi Stones Zambia Limited","gemstones","MKUSHI STONES ZAMBIA LIMITED","120180003420","25/04/2018","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/01/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Mkushi-Serenje Investments Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mlema Mining Limited","critical_battery","MLEMA MINING LIMITED","120210019337","17/08/2021","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 11/08/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"MLG Resources Limited","industrial_minerals","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mlima Mining Investment Limited","critical_battery","MLIMA MINING INVESTMENT LIMITED","120210016340","20/05/2021","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/05/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"MM Homes Management Limited","gemstones","MM HOMES MANAGEMENT LIMITED","120220038397","30/08/2022","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/08/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"MMG (Zambia) Exploration Limited","critical_battery","MMG (ZAMBIA)  EXPLORATION LIMITED","120110090255","14/02/2011","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","0","0","0",,,
"Mmkaz Mining Company","gemstones","MMKAZ MINING COMPANY LIMITED","120170002638","03/04/2017","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","False","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"MNS Global World import and Export Limited","gemstones","MNS GLOBAL WORLD IMPORT AND EXPORT LIMITED","120170002759","05/04/2017","Other passenger land transport","Active","Local Company - Limited by Shares","4922. Other passenger land transport","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/04/2022. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mobile Shaft Metals Limited","critical_battery","MOBILE SHAFT METALS LIMITED","120200009789","13/11/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 12/11/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"MODIBO RESOURCES LIMITED","gemstones","MODIBO RESOURCES LIMITED","120241012248","04/09/2024","Water collection, treatment and supply","Active","Local Company - Limited by Shares","3600. Water collection, treatment and supply","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/07/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Moersis Enterprises Limited","gemstones","MOERSIS ENTERPRISES LIMITED","120241005562","23/04/2024","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 22/04/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mofwe Gemstone mining","gemstones","MOFWE GEMSTONE MINING COMPANY LIMITED","120010047311","21/05/2001","Support activities for other mining and quarrying","Inactive","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 21/05/2004. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mohafra Mining Limited","gemstones","MOHAFRA MINING LIMITED","120220026972","21/01/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/01/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mojo Commodities Limited","gold","MOJO COMMODITIES LIMITED","120220037670","17/08/2022","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 08/08/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mokha Investment Zambia Limited","critical_battery","MOKHA INVESTMENT ZAMBIA LIMITED","120200004833","19/06/2020","Construction of roads and railways","Active","Local Company - Limited by Shares","4210. Construction of roads and railways","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/06/2021. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Momentsky Company Limited","gemstones","MOMENTSKY COMPANY LIMITED","120200002386","24/03/2020","Freight transport by road","Active","Local Company - Limited by Shares","4923. Freight transport by road","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Momentum  Mining Services  Limited","critical_battery","MOMENTUM MINING SERVICES LIMITED","120220043327","15/12/2022","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Momentum Mining Services Limited","critical_battery","MOMENTUM MINING SERVICES LIMITED","120220043327","15/12/2022","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mon Fuel and Oil Investment","critical_battery","MON FUEL & OIL INVESTMENTS LIMITED","120170007645","05/10/2017","Retail sale of automotive fuel in specialized stores","Active","Local Company - Limited by Shares","4730. Retail sale of automotive fuel in specialized stores","False","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 04/09/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Monet Geo Resources Limited","gemstones","MONET GEO RESOURCES LIMITED","120210011834","19/01/2021","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Monoliths Mining Group Limited","gemstones","MONOLITHS MINING GROUP LIMITED","120241010980","08/08/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 04/08/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Montauk Mining & Minerals Limited","gold","MONTAUK MINING AND MINERALS LIMITED","120030051861","27/02/2003","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"MOONSHINE MINING LIMITED","gemstones","MOONSHINE MINING LIMITED","120241017876","30/12/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 07/02/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mopani Copper Mines Plc","other","MOPANI COPPER MINES PLC","120000044139","10/02/2000","Other mining and quarrying n.e.c.","Active","Local Company - Public","0899. Other mining and quarrying n.e.c.","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 10/02/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Mopti Company Limited","industrial_minerals","MOPTI MINE COMPANY LIMITED","120020051338","19/12/2002","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/12/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Morton Enterprises Limited","critical_battery","MORTON ENTERPRISE LIMITED","120030053461","25/09/2003","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","False","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 25/09/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mother Land Resources Limited","critical_battery","MOTHER LAND RESOURCES LIMITED","120200009629","09/11/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 09/11/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mother Load Deposits Limited","critical_battery","MOTHER LOAD DEPOSITS LIMITED","120210022385","20/10/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Motherland Resources Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Motomine Zambia Limited","gemstones","MOTOMINE ZAMBIA LIMITED","120200008503","07/10/2020","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 02/10/2021. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mount Horeb Investments Limited","gemstones","MOUNT HOREB INVESTMENTS LIMITED ","120020051357","20/12/2002","Freight transport by road","Active","Local Company - Limited by Shares","4923. Freight transport by road","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 20/12/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mount Putuo Copper Mine Limited","gemstones","MOUNT PUTUO COPPER MINE LIMITED","120241013094","21/09/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/09/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"MOUNT WATAI COPPER MINE LIMITED","gemstones","MOUNT WATAI COPPER MINE LIMITED","120241013768","05/10/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/09/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mountlisa Minerals Limited","gemstones","MOUNTLISA MINERALS LIMITED","120251025341","11/05/2025","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Mowen Resourses Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Moxico Amadoda Mining Limited","critical_battery","MOXICO AMADODA MINING LIMITED","120190009515","05/12/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Moxico Resources Zambia Limited","critical_battery","MOXICO RESOURCES ZAMBIA LIMITED","120150131669","22/04/2015","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Moyan Services Limited","gold","MOYAN SERVICES LIMITED","120241003719","14/03/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 13/03/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Moyo Chiefdom Multi purpose Cooperative Society Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mpande Limestone Limited","industrial_minerals","MPANDE LIMESTONE LIMITED","120080073463","26/06/2008","Quarrying of stone, sand and clay","Active","Local Company - Limited by Shares","0810. Quarrying of stone, sand and clay","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/03/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Mpanga Mining Cooperative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mpanga Yabusasa Investment Limited","critical_battery","MPANGA-YABUSASA INVESTMENT LIMITED","120230046472","20/02/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mpaso Mining Company Ltd","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mpavu Multi-Purpose Cooperative Society Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"MSANZALA RESOURCES LIMITED","gemstones","MSANZALA RESOURCES LIMITED","120241015398","07/11/2024","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 07/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"MTDK INVESTMENT LIMITED","gemstones","MTDK INVESTMENT LIMITED","120241016623","03/12/2024","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 29/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Muamba and Company Ltd","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mubaich Resources Limited","gemstones","MUBAICH RESOURCES LIMITED","120210023639","12/11/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 11/11/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mublecha Enteprises Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Muchaba Enterprises Company Limited","energy_minerals","MUCHABA ENTERPRISES COMPANY LIMITED","120220026857","19/01/2022","Manufacture of other porcelain and ceramic products","Active","Local Company - Limited by Shares","2393. Manufacture of other porcelain and ceramic products","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Muchenga Industrial Minerals Limited","construction_materials","MUCHENGA INDUSTRIAL MINERALS LIMITED","120130108650","15/01/2013","Processing and preserving of fruit and vegetables","Active","Local Company - Limited by Shares","1030. Processing and preserving of fruit and vegetables","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/01/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
