"year","date","event","category","entities","entity_ids","source_name","source_url"
"2000","2000-04","Mopani Copper Mines (Nkana and Mufulira assets) is transferred on 1 April 2000 to Glencore (majority) with First Quantum Minerals as minority partner; the residual state vehicle ZCCM Investments Holdings (ZCCM-IH) retains minority stakes across the industry.","privatization","Mopani Copper Mines | Glencore | First Quantum Minerals | ZCCM-IH","KANSANSHI | MOPANI | ZCCM_IH","Wikipedia, 'Mopani Copper Mines'; Sikamo et al. (2015), SAIMM","https://en.wikipedia.org/wiki/Mopani_Copper_Mines"
"2000","2000-11","RAMCOZ collapses into receivership as Binani abandons its investment, throwing Luanshya's mines into years of instability and mass layoffs.","closure","RAMCOZ | Binani Group | Luanshya mine","","Fraser & Lungu (2007), 'For Whom the Windfalls?'","https://sarpn.org/documents/d0002403/Zambia_copper-mines_Lungu_Fraser.pdf"
"2002","2002-01","Anglo American announces its withdrawal from Konkola Copper Mines, handing the flagship privatized asset back to the government barely two years after buying it, with copper near its historic price low.","closure","Anglo American | Konkola Copper Mines | Government of Zambia","KCM","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"2004","2004-11","Vedanta Resources of India acquires a 51% controlling stake in Konkola Copper Mines from the government, later raising its interest to 79.4% in 2008.","acquisition","Vedanta Resources | Konkola Copper Mines | Government of Zambia | Zambia Copper Investments","KCM","Sikamo et al. (2015), SAIMM; USGS Minerals Yearbook, Zambia 2008 chapter","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"2005","2005-04","An explosion at the Chinese-owned BGRIMM explosives plant serving the Chambishi mine kills 46 Zambian workers, the deadliest industrial accident of the new mining era and a lasting flashpoint in Zambia-China labor relations.","disaster","BGRIMM Explosives | NFC Africa Mining | Chambishi","NFCA","Wikipedia, 'Chambishi'; Human Rights Watch (2011) report on Zambia's Chinese state-owned copper mines","https://en.wikipedia.org/wiki/Chambishi"
"2005","2005-04","First Quantum's Kansanshi mine near Solwezi begins production in April 2005 - the first large greenfield copper mine of the post-privatization era, opening up North-Western Province as the 'new Copperbelt'.","opening","Kansanshi Mining Plc | First Quantum Minerals | ZCCM-IH","KANSANSHI | ZCCM_IH","Mining Technology, 'Kansanshi Copper Mine' project profile","https://www.mining-technology.com/projects/kansanshi/"
"2008","2008-04","Zambia introduces a 25% windfall tax on base metal revenues (triggered at copper prices above about US$5,512/t) plus a variable profits tax, scrapping the low-royalty development agreements of the privatization era.","policy","Government of Zambia | Zambia Revenue Authority","","USGS Minerals Yearbook 2008, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2008/myb3-2008-za.pdf"
"2008","2008-06","Gemfields acquires 75% of the Kagem emerald mine (with the state retaining 25%), beginning the formalization of Zambia's emerald sector; Kagem produced 20.9 million carats of emerald and beryl in 2008.","acquisition","Gemfields | Kagem Mining | ZCCM-IH","ZCCM_IH","USGS Minerals Yearbook 2009, Zambia chapter (Gemfields/Kagem production and ownership)","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2009/myb3-2009-za.pdf"
"2008","2008-12","As copper prices crash in the global financial crisis, Luanshya Copper Mines suspends the Mulyashi project and puts the Baluba mine on care-and-maintenance, and the Chambishi copper roaster is idled.","closure","Luanshya Copper Mines | Baluba mine | Chambishi Metals | Enya Holdings","CHAMBISHI_METALS","USGS Minerals Yearbook 2008, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2008/myb3-2008-za.pdf"
"2008","2008-12","Equinox Minerals produces first concentrate at the US$800m+ Lumwana mine in December 2008, then the largest new copper mine in Africa, targeting about 172,000 t/yr of copper.","opening","Lumwana Mining Company | Equinox Minerals","LUMWANA","USGS Minerals Yearbook 2008, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2008/myb3-2008-za.pdf"
"2009",,"The CNMC/Yunnan Copper joint-venture Chambishi Copper Smelter is commissioned inside the Chambishi Multi-Facility Economic Zone (China's first African SEZ), processing about 350,000 t/yr of concentrate into copper anode.","opening","Chambishi Copper Smelter | CNMC | Yunnan Copper | Zambia-China Economic and Trade Cooperation Zone","CCS","USGS Minerals Yearbook 2009, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2009/myb3-2009-za.pdf"
"2009","2009-03","Parliament abolishes the 25% windfall tax barely a year after its introduction, citing the collapse in copper prices during the global economic crisis.","policy","Government of Zambia | National Assembly of Zambia","","USGS Minerals Yearbook 2009, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2009/myb3-2009-za.pdf"
"2009","2009-06","China's CNMC acquires 85% of Luanshya Copper Mines from Enya Holdings for about US$50 million and restarts the Baluba mine in December 2009, extending the Chinese wave on the Copperbelt.","acquisition","CNMC Luanshya Copper Mines | CNMC | Enya Holdings | Baluba mine | Government of Zambia","CNMC_LUANSHYA","USGS Minerals Yearbook 2009, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2009/myb3-2009-za.pdf"
"2010","2010-10","Chinese managers at the Collum coal mine in Sinazongwe shoot and wound at least 13 striking miners during a pay protest, an emblem of labor tensions at Chinese-run operations.","other","Collum Coal Mine | Government of Zambia","","Reuters, 'Zambian miners shot, injured during pay protest' (15 Oct 2010), cited in Wikipedia 'Collum Coal Mine'","https://www.reuters.com/article/zambia-mining-shooting-idUKLDE69E1NZ20101015"
"2011","2011-07","Barrick Gold acquires Equinox Minerals for about C$7.3 billion, taking ownership of the Lumwana copper mine.","acquisition","Barrick Gold | Equinox Minerals | Lumwana mine","","USGS Minerals Yearbook 2011, Zambia chapter","https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2011/myb3-2011-za.pdf"
"2012","2012-09","Zambia is declared fully compliant with the Extractive Industries Transparency Initiative (EITI), having joined as a candidate in May 2009.","policy","ZEITI | Government of Zambia","","Sikamo, Mwanza & Mweemba (2015), 'Copper Mining in Zambia - History and Future', SAIMM","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"2015","2015-01","The 2015 budget replaces corporate income tax with sharply higher mineral royalties (20% open-pit / 8% underground), triggering an investment standoff and production drops before the regime is rolled back within the year.","policy","Government of Zambia | Zambia Chamber of Mines","","Sikamo, Mwanza & Mweemba (2015), SAIMM (conclusion on the 2015 Mineral Royalty Tax regime); royalty rates from contemporaneous coverage","https://www.saimm.co.za/Conferences/BM2015/001-Sikamo.pdf"
"2015","2015-08","First Quantum's US$2 billion+ Sentinel mine (Trident project, Kalumbila) extracts first product in August 2015, adding a third giant to North-Western Province alongside Kansanshi and Lumwana.","opening","Sentinel mine | First Quantum Minerals | FQM Trident","FQM_TRIDENT | KANSANSHI","Wikipedia, 'Sentinel mine'","https://en.wikipedia.org/wiki/Sentinel_mine"
"2019","2019-01","A new mining tax regime takes effect: sliding-scale royalties rise to 5.5-7.5% (10% above US$7,500/t copper), royalties become non-deductible, and an export duty is imposed on precious metals and gemstones - the tenth major tax change since privatization.","policy","Government of Zambia | Zambia Revenue Authority","","USGS Minerals Yearbook 2019, Zambia chapter","https://pubs.usgs.gov/myb/vol3/2019/myb3-2019-zambia.pdf"
"2019","2019-05","The Zambian state, via ZCCM-IH, appoints a provisional liquidator to wind up Vedanta's Konkola Copper Mines over alleged breaches, seizing de facto control and triggering years of arbitration with Vedanta.","policy","Konkola Copper Mines | ZCCM-IH | Vedanta Resources | Government of Zambia","KCM | ZCCM_IH","Reuters coverage of the KCM liquidation (May 2019), cited in Wikipedia 'Konkola Copper Mines'; see also DW analysis","https://www.dw.com/en/zambia-vs-vedanta-could-the-government-be-paving-the-way-for-a-chinese-buyer/a-49041353"
"2021","2021-01","Glencore agrees to hand its 90% of Mopani Copper Mines to state-owned ZCCM-IH for US$1 plus US$1.5 billion in transaction debt repaid from future output, completing its exit from Zambia by 31 March 2021.","acquisition","Glencore | Mopani Copper Mines | ZCCM-IH | Carlisa Investments","MOPANI | ZCCM_IH","Reuters (19 Jan 2021), cited in Wikipedia 'Mopani Copper Mines'/'Konkola Copper Mines'","https://www.reuters.com/article/us-zambia-mining-vedanta-idUSKBN29O1EL"
"2021","2021-08","Hakainde Hichilema wins the presidency on a pro-investment platform; his government later launches a national strategy to more than triple copper production to 3 million tonnes a year by 2031.","policy","Government of Zambia | Hakainde Hichilema | Ministry of Mines and Minerals Development","","British Geological Survey news, 'Zambia: the copper mining powerhouse looking towards a safer, low-carbon future'","https://www.bgs.ac.uk/news/zambia-the-copper-mining-powerhouse-looking-towards-a-safer-low-carbon-future/"
"2022","2022-04","Zambia and the DR Congo sign a cooperation agreement (29 April 2022, facilitated by UNECA) to jointly develop an electric-vehicle battery value chain, including cross-border special economic zones for battery precursor manufacturing.","policy","Government of Zambia | DR Congo | UNECA | Zambia-DRC Battery Council","","Lusaka Times, 'Congo and Zambia to build up battery supply chain' (1 June 2022)","https://www.lusakatimes.com/2022/06/01/congo-and-zambia-to-build-up-battery-supply-chain/"
"2022","2022-12","KoBold Metals, the AI-driven exploration company backed by Breakthrough Energy Ventures, commits about US$150 million to the Mingomba deposit near Chililabombwe - which it now describes as one of the best copper deposits ever found and a future world-scale mine.","other","KoBold Metals | Mingomba | EMR Capital | ZCCM-IH","ZCCM_IH","KoBold Metals, Mingomba project page","https://koboldmetals.com/mingomba/"
"2023","2023-11","ZCCM-IH and Vedanta Resources sign the settlement returning Konkola Copper Mines to Vedanta's control, ending the 2019 liquidation saga; Vedanta commits over US$1 billion to revive Konkola and pays about US$250 million to creditors, with full handback completed in 2024.","acquisition","Vedanta Resources | Konkola Copper Mines | ZCCM-IH | Government of Zambia","KCM | ZCCM_IH","The Telegraph (India), 'Vedanta Resources and Zambian govt finalise agreement to restore ownership of Konkola Copper Mines' (Nov 2023)","https://www.telegraphindia.com/business/vedanta-resources-and-zambian-govt-finalise-agreement-to-restore-ownership-of-konkola-copper-mines/cid/1978431"
"2024","2024-03","Abu Dhabi's International Resources Holding (IRH) completes a US$1.1 billion deal for 51% of Mopani Copper Mines, recapitalizing the mines ZCCM-IH took over from Glencore and bringing Gulf capital into the Copperbelt for the first time.","acquisition","International Resources Holding | International Holding Company | Mopani Copper Mines | ZCCM-IH","MOPANI | ZCCM_IH","Forbes Middle East, 'International Holding Company's IRH completes acquisition of Mopani Copper Mines' (March 2024)","https://www.forbesmiddleeast.com/industry/business/international-holding-companys-irh-completes-acquisition-of-mopani-copper-mines"
"2024","2024-07","China's JCHX Mining completes its purchase of an 80% stake in the loss-making Lubambe copper mine from EMR Capital and commits about US$300 million, including a new shaft, to turn the operation around.","acquisition","JCHX Mining | Lubambe Copper Mine | EMR Capital | ZCCM-IH","LUBAMBE | ZCCM_IH","Reuters via Mining.com, 'Zambia says China's JCHX will invest $300m in Lubambe copper mine' (11 July 2024)","https://www.mining.com/web/zambia-says-chinas-jchx-will-invest-300m-in-lubambe-copper-mine/"
"2025",,"First Quantum commissions the US$1.25 billion S3 expansion at Kansanshi, the anchor project of Zambia's push toward its 3-million-tonne target.","opening","First Quantum Minerals | Kansanshi Mining Plc","KANSANSHI","Mining.com, 'First Quantum commissions $1.25B Zambia copper expansion amid debt push'","https://www.mining.com/first-quantum-commissions-1-25b-zambia-copper-expansion-amid-debt-push/"
"2025",,"Zambia's copper production reaches 890,346 tonnes in 2025 (ministry figures), up 8% and the highest in over five decades, but misses the government's 1-million-tonne target.","other","Ministry of Mines and Minerals Development | Government of Zambia","","Reuters via Mining.com, 'Zambia's 2025 copper production up 8%, misses target' (27 Jan 2026)","https://www.mining.com/web/zambias-2025-copper-production-up-8-misses-target/"
"2025","2025-02","A tailings dam at Sino-Metals Leach Zambia's Chambishi operation fails on 18 February 2025, releasing some 50 million litres of acidic effluent into the Mwambashi River and the Kafue system, cutting water supply to Kitwe and becoming a national test case for mining-environmental accountability.","disaster","Sino-Metals Leach Zambia | CNMC | Kafue River | Kitwe","SINO_METALS","Mining.com, 'Acid spill from Chinese-owned copper mine contaminates vital waterway in Zambia'; Human Rights Watch, 'Zambia: Acid Spill Jeopardizes Residents' Health' (11 Sep 2025)","https://www.mining.com/acid-spill-from-chinese-owned-copper-mine-contaminates-vital-waterway-in-zambia/"
