"name","licence_type","town","expiry"
"AFRICARGO IMPORT AND EXPORT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AFRICAWISE MANAGEMENT ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AFRO LEGACY LIMITED","Final clearance only",,"31.12.2025"
"AGEWOOD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AIR CARGO SERVICES LIMITED","Final clearance only","NDOLA","31.12.2026"
"AKAWAYS INVESTMENTS LIMITED","Final clearance only","CHIPATA","31.12.2025"
"ALCONE ENTERPRISES LIMITED","Full licence","KITWE","31.12.2026"
"ALDAZU FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2024"
"ALERT FORWARDING ZAMBIA LIMITED","Full licence","NAKONDE","31.12.2024"
"ALFLOTON LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ALFRITA AFRICAN LOGISTICS ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2026"
"ALIMAS LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"ALIMOPHINE LOGISTICS ZAMBIA LIMITED","Final clearance only","CHINGOLA","31.12.2026"
"ALINACO CONTRACTORS ENTERPRISES LIMITED","Final clearance only","CHINGOLA","31.12.2026"
"ALISTAIR LOGISTICS ZAMBIA LIMITED","Final clearance only","CHILANGA","31.12.2026"
"ALITA LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"ALLMARK LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"ALLMOL FREIGHT SERVICES LIM-","Final clearance only","LUSAKA","31.12.2025"
"ALMAJEED JANMOTORS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ALPHY LOGISTICS LIMITED","Final clearance only","LUANSHYA","31.12.2025"
"ALTITUDE INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ALTRUK ZAMBIA SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ALVERON INVESTMENTS LIMITED","Final clearance only","LUANSHYA","31.12.2025"
"AMARIS LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AMBA LOGISTICS LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AMEN FREIGHT AND INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2026"
"AMSA CLEARING TRANSPORT AND LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"ANAALINGO CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ANASI NI NKONDO ENTERPRISES","Final clearance only","LUSAKA","31.12.2025"
"ANDMECK ZAMBIA LIMITED","Final clearance only","NDOLA","31.12.2026"
"ANIST RESOURCES ANDLOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"ANK CARGO WORLD LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ANK HEAVENLY ENTERPRISES","Final clearance only","NAKONDE","31.12.2025"
"APTS CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"AQUACLARIS ENTERPRISES","Final clearance only","KAOMA","31.12.2025"
"ARCLIGHT CARGO AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"AROKATS GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"AROWFIN GENERAL DEALERS LTD","Final clearance only","CHIPATA","31.12.2024"
"ARTICWORLD CLEARING & FORWARDING LTD","Final clearance only","NAKONDE","31.12.2024"
"ASCONA LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"ASHERTE LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"ASHTONE LOGISTICS LIMITED","Final clearance only","SESHEKE","31.12.2025"
"ASTUTE LOGISTICS SOLUTIONS LIMITED","Final clearance only","NDOLA","31.12.2025"
"ATLANTIC DIGITAL COMMODITIES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ATRANS INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ATRAVE LOGISTICS LTD","Final clearance only","NAKONDE","31.12.2024"
"AUTO PRIDE CARGO AND LOGISTICS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2024"
"AUTOCARE CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"AVAYA CUSTOMS AND LOGISTICS AGENCY","Final clearance only","LUSAKA","31.12.2025"
"AVESH CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"AVRIO TRADING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"AZAM CARGO TRADING LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"AZZURI INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BABA FREIGHT CLEARING & FORWARDING LTD","Final clearance only","NAKONDE","31.12.2024"
"BAF SHIPPING SUPPORT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BALMORAL CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BAMO FREIGHT SERVICES","Final clearance only","LUSAKA","31.12.2026"
"BANJICHOS INVESTMENTS COMPANY LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"BARTHSAM FREIGHT SERVICES","Full licence","LUSAKA","31.12.2025"
"BASHIRMAN INVESTMENT LIMITED","Final clearance only","NAKONDE","31.12.2024"
"BASIL FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"BC FOX INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BCK FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BE PRECIOUS INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"BEABEX SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BEACON PATH LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"BECKLINK ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BEEM CARGO HUNDLERS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BEEM LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BELLS CLEARING AND LOGISTICS LIMITED ONLY ROAD LUSAKA","Final clearance only",,"31.12.2025"
"BEN AND MAYBIN GENERAL DEALERS LIMITED ONLY NESS CENTRE LIVINGSTONE","Final clearance only",,"31.12.2025"
"BENSIACH BUSINESS CONSULTING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BERN BROTHERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BESAM LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"BESHAMU GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BESPAT FREIGHT AND LOGISTICS","Final clearance only",,"31.12.2026"
"BESTCATCH LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"BESTER CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BESTER FEED AND GRAIN ZAMBIA LIMITED",,,"31.12.2025"
"BEYADAH CLEARING AND FORWARDING LIMITED RIT ONLY gmail.com","Final clearance only","LUSAKA","31.12.2026"
"BEYOND CARGO MANAGEMENT LIMITED","Final clearance only","KAZUNGULA","31.12.2024"
"BEZOLINK TRANSPORT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BIG BORN ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BIG DREAM CLEARING AND GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"BIGSHARK BUSINESS SOLUTION LIMITED","Final clearance only","CHILILABOMBWE","31.12.2026"
"BIGSHEEP LOGISTICS LIMITED","Final clearance + RIT","NAKONDE","31.12.2024"
"BILMEZ TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BILOKO LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"BINOMEG FREIGHT AND LOGISTICS LIMITED","Final clearance only","SESHEKE","31.12.2026"
"BIP VALLEY OF GEAR CLEARING AND FORWARDING LIMITED","Final clearance only","SESHEKE","31.12.2024"
"BISTON LOGISTIC (Z) LTD","Final clearance only","NAKONDE","31.12.2024"
"BLACK DIAMOND CUSTOMS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BLACKRIDGE ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BLESHADAN CONSTRUCTION AND GENERAL DEALERS LIMITED","Final clearance only","CHIPATA","31.12.2025"
"BLESS SHIPPERS MANAGEMENT LIMITED","Final clearance only",,"31.12.2025"
"BLESSED MANKIND LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"BLISSFUL CLEARING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BLUE STREAM IMPORT AND EXPORT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"BLUEINK LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BLUFIC INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BOBERLINE LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"BONDWORLD SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BONETHEL CLEARING AND FORWARDING COMPANY","Final clearance only","CHILILABOMBWE","31.12.2025"
"BONNDO LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"BOOM FREIGHT LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"BORDER TO BORDER CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BOSS CARGO FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BOUNDLINK FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BOXWIRE FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2026"
"BRAKA CARGO SERVICES LIMITED","Final clearance only","NAKONDE","31.12.2024"
"BRAKALI INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"BRAKALI LOGISTICS LTD","Full licence","LIVINGSTONE","31.12.2024"
"BRICON FREIGHT SERVICES IN-","Final clearance only","LUSAKA","31.12.2025"
"BRIDGE SAVE BUSINESS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BRIGHTLIGHT PRIME CARGO LIMITED","Final clearance only","LUSAKA","31.12.2026"
"BRIJEL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BRINKS LOGISTICS AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BRISA EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BRITI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"BRITPHILS INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"BROAD DAY CARGO SERVICES","Final clearance only","LUSAKA","31.12.2026"
"BROADWAY CARGO LIMITED","Final clearance only","LUSAKA","31.12.2025"
"BRSK CARGO HANDLERS LIMITED","Final clearance only","SESHEKE","31.12.2024"
"BRUCEMUSI INVESTMENTS LIMITED","Final clearance only","SESHEKE","31.12.2024"
"BTOM INVESTMENTS LTD","Final clearance only","LUSAKA","31.12.2024"
"BUILDON CARGO SERVICES LIM-","Final clearance only","LUSAKA","31.12.2024"
"BUILDON INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"BUILTLINE CARGO SERVICES","Final clearance only","MUMBWA","31.12.2025"
"BUPAMBO GENERAL DEALERS LIMITED","Final clearance only","KASAMA","31.12.2025"
"BUSEKELO LOGISTICS COMPANY","Final clearance only","NAKONDE","31.12.2025"
"BWAMI INNOVATIONS LIMITED","Final clearance only","NDOLA","31.12.2025"
"BWAMUCHI BUSINESS LOGISTICS LIMITED ONLY LABOMBWE","Final clearance only",,"31.12.2025"
"BWANA LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"BWECHE CARGO AND FREIGHT SERVICES LIMITED","Final clearance only","NAKONDE","31.12.2026"
"BYLO ENTERPRISES LIMITED","Full licence","CHINGOLA","31.12.2025"
"C. STEINWEG BRIDGE ZAMBIA LIMITED","Full licence","NDOLA","31.12.2024"
"C.LIGHT SHIPPING LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"CACITEX LOGISTICS ZAMBIA LIMITED","Full licence","LUSAKA","31.12.2026"
"CALM LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"CANAAN CLEARING & FORWARDING LIMITED ONLY CHIRUNDU","Final clearance only",,"31.12.2026"
"CAPSTONE LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"CARGO CLICK ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"CARGO ECONOMICS ZAMBIA LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"CARGO FORUM SERVICES","Final clearance only","CHIRUNDU","31.12.2025"
"CARGO INTO AFRICA WAREHOUSING & LOGISTICSLTD","Full licence","NDOLA","31.12.2024"
"CARGO MANAGEMENT AND LOGISTICS (Z) LIMITED","Full licence","NDOLA","31.12.2026"
"CARGO WRIGHT MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CARGOLANE LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2026"
"CARGOLIFTERS FREIGHT AND FORWARDING","Final clearance only","KITWE","31.12.2026"
"CARGOMEN FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CARGOTRADE LOGISTICS LTD","Final clearance only","LUSAKA","31.12.2024"
"CARL IMPORT AND EXPORT COMPANY LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CARNCHI LINK LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"CAROLINE CLEARING AND FORWARDING","Final clearance only","LUSAKA","31.12.2026"
"CARRI TIME INVEST NET ZAMBIA LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"CASSAVA FREIGHT LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"CBBS CLEARING FORWARDING AND TRANSPORT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CELKOM LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"CENS INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2024"
"CENTARUS FREIGHT AND FORWARDING LIMITED","Final clearance only","NDOLA","31.12.2025"
"CENTRAL LINK INVESTMENTS LIMITED","Final clearance only","MUFULIRA","31.12.2026"
"CETUS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHABALADM LOGITSICS LIMITED","Final clearance only",,"31.12.2026"
"CHACHIBWA INVESTMENTS ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"CHAIN LINK LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"CHALEN LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"CHALEX CLEARING AND FORWARDING LTD RIT ONLY com","Final clearance only","CHILILABOMBWE","31.12.2024"
"CHAN BUSINESS SOLUTION LIMITED","Final clearance only","NDOLA","31.12.2026"
"CHARIPE INVESTMENTS LIMITED","Full licence","LUSAKA","31.12.2026"
"CHAROMAPS CONSULTANCY AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHARTER-LINK INVESTMENTS LIMITED","Full licence","LUSAKA","31.12.2025"
"CHATONDA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CHAVIT LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"CHAWACHAWA INVESTMENTS LIMITED","Final clearance only","CHIPATA","31.12.2025"
"CHAWAKA INVESTMENTS LIMITED","Final clearance only","CHINGOLA","31.12.2025"
"CHECHI CARGO SERVICE LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"CHENET LOGISTICS LTD","Final clearance only","KITWE","31.12.2024"
"CHENGA FREEIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CHERRY GLORY INVESTMENTS LIMITED","Final clearance only","CHINGOLA","31.12.2025"
"CHERYNOM INVESTMENTS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"CHIBS HOUSING LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"CHIBUMA FREIGHT AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CHIBUNO FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"CHILO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"CHILUCHA SHIPPING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CHIMBALANGA GENERAL DEALERS LIMITED","Final clearance only",,"31.12.2025"
"CHIMBUKA BUSINESS SOLUTIONS LTD","Final clearance only","NAKONDE","31.12.2024"
"CHIMPANDA CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CHIMRISE INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"CHISI INVESTMENTS COMPANY","Final clearance only","LIVINGSTONE","31.12.2024"
"CHISONA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CHITNEY LOGISTICS LIMTED","Final clearance only","LIVINGSTONE","31.12.2024"
"CHITUPI CARGO BUSINESS CENTRE LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"CHIZYA CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CHLOPAS LOGISTICS LIMITED","Final clearance only","KAZUNGULA","31.12.2025"
"CHOBWAMU CONSTRUCTION AND GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHOICE AUTO AND GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CHOICE C. K. SERVICES LIMITED","Final clearance only","NDOLA","31.12.2025"
"CHOICEONES TRADING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHOMALITA INNOVATIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHOMRITY CONSTRUCTION AND SUPPLIERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CHRIELLY INVESTMENTS LIMITED ONLY CHIRUNDU","Final clearance only",,"31.12.2025"
"CHRIMWA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CHRISCA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CHRISJUS FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"CHRISUC INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CHRYVES LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"CILTAX LIMITED","Full licence","LUSAKA","31.12.2024"
"CIRCLE TRANSTRA INTERNATIONAL ZAMBIA LIMITED","Full licence","LUSAKA","31.12.2026"
"CIRCLELINE INVESTMENTS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CIRCLENET LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CLARION FREIGHT AND LOGISTICS ZAMBIA LIMITED ONLY SAKA","Final clearance only","MUMBWA","31.12.2024"
"CLARITY VENTURES LIMITED","Final clearance only","NDOLA","31.12.2025"
"CLEARING GAGE LIMITED","Final clearance only","MUMBWA","31.12.2026"
"CLEMAHNITY FREIGHT SERVICES","Final clearance only","LUSAKA","31.12.2024"
"CLEMBOLD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CLICK AND CONNECT IMPORTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CM AND Z ZAMBIA","Final clearance only","LUSAKA","31.12.2024"
"CMK LOGISTICS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"COAST GATE LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2024"
"COLAGIL INVESTMENT LIMITED","Final clearance only","CHILILABOMBWE","31.12.2026"
"COLDSTAR LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"COLMUB LOGISTICS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"COMMERCIAL EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"COMPANION LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"COMPASS LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CONCIERGE BUSSINESS SERVICES","Final clearance only","LUSAKA","31.12.2026"
"CONNATE CORPORATE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"CONNEXAFRICA LIMITED","Final clearance only","NDOLA","31.12.2025"
"CONTINENTAL FREIGHT SERVICES LIMITED","Full licence","LUSAKA","31.12.2026"
"CONTREV INVESTMENTS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"CONTRITE COMPANY LIMITED","Final clearance only","NAKONDE","31.12.2025"
"COOLTRACK LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2026"
"COPA TRANS LIMITED","Final clearance only","KABWE","31.12.2026"
"COPERNICUS MANIJEH LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"CORE VISION INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"CORETRUST INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"COSMIC CLEARING AND FORWARDING LIMITED","Full licence","CHIRUNDU","31.12.2024"
"CPAN GROUP LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CRISTAL TOUCH INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"CRYSTAL AMAZING CARGO LIMITED","Final clearance only",,"31.12.2026"
"CSSC CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"CURSORY LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"D.L FREIGHT SERVICES LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"DADAN LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"DALITE LOGISTICS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2026"
"DAMARSIL EMPIRE ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2025"
"DAMURO GENERAL DEALERS LIMITED ONLY com","Final clearance only","CHIRUNDU","31.12.2025"
"DAMUSHAL LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"DANBERT INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"DANDO INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DANGO CARGO EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"DANSIL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DARE CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"DARREDEAL ENTERRISES LIMITED","Final clearance only","KITWE","31.12.2024"
"DATSO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"DAVYWILSON INVESTMENT LIMITED","Final clearance only","NAKONDE","31.12.2026"
"DAWN LOGISTICS ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2024"
"DECLARED CARGO EXPRESS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"DEE DEE KAYE INTERNATIONAL LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DEEMAT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DEEPTIES LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"DEGENERATION FREIGHT LIMITED","Final clearance only","KITWE","31.12.2026"
"DEHA CLEARING AND FORWARDING LIMITED","Final clearance only","KATIMA","31.12.2025"
"DELGRACE CARGO AND LOGISTICS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"DELTA CARGO SERVICES LIMITED","Final clearance only","NAKONDE","31.12.2024"
"DEMISH FREIGHT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DERIJU INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"DERINET CARGO HANDLERS AND LOGITICS LIMITED","Final clearance only","NDOLA","31.12.2026"
"DEUTRO CARGO LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"DEVDEN CLEARING & FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DEW DROP LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DEXIOUS TRADERS LIMTED","Final clearance only","LIVINGSTONE","31.12.2025"
"DEXSTER INVESTMENTS AND GENERAL DEALERS","Final clearance only","NAKONDE","31.12.2026"
"DFS GROUP LIMITED","Final clearance only","MUMBWA","31.12.2026"
"DHL INTERNATIONAL (ZAMBIA) LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DIAMOND LADY CLEARING AND LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2025"
"DIANDIAN ZAMBIA LOGISTICS LIMITED MAKENILUSAKA","Final clearance only","KAFUE","31.12.2024"
"DIBISTO CARGO ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DISCOVERY FREIGHT & LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DISTANT SHORES LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"DITA LOGISTICS LIMITED","Final clearance only","CHILANGA","31.12.2025"
"DIVINE CARGO SERVICES (Z)","Final clearance only","LUSAKA","31.12.2025"
"DIVINE CREATIVE MINDS AND LOGISTICS ZAMBIA LIMITED ONLY com","Final clearance only","LUSAKA","31.12.2025"
