"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"CCGM Geology and Mining (Z) Ltd","critical_battery","1","0","85678","Manganese/Gold/Copper","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'CCGM GEOLOGY AND MINING (ZAMBIA) LIMITED'","no","no"
"Best Western Plus Lusaka Grand Hotel Limited","gemstones","2","0","81396","Iron Ore/Gold/Quartz","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Copperbelt Chemicals Zambia Limited","critical_battery","1","0","81311","Iron Ore/Manganese/Rare EarthsElements","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Zhonghe Investment Group Coorperation Limited","gemstones","1","0","79205","Manganese/Nickel/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"N.I.C Investments Limited","critical_battery","1","0","77332","Nickel/Uranium/Zinc","1","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'N.I.C INVESTMENTS LIMITED'","yes","no"
"CAMCO EQUIPMENT (ZAMBIA) LIMITED","critical_battery","2","0","74514","Manganese/Rare EarthsElements/Zinc","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'CAMCO EQUIPMENT (ZAMBIA) LIMITED'","yes","yes"
"SK Rural Development Company Limited","critical_battery","1","0","64773","Silver/Manganese/Tantalum","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Nash Import & Export Limited","gemstones","2","0","60964","Rare EarthsElements/Anhydrite/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'NASH IMPORT & EXPORT LIMITED'","yes","yes"
"Gold Trap World Resources Limited","gemstones","1","0","59726","Iron Ore/Nickel/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"New-MC Investment Limited","gemstones","5","0","55412","Gold/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Chibaris International (Zambia) Limited","gemstones","2","0","52051","Quartz/Palladium/Niobium (Columbium)","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'CHIBARIS INTERNATIONAL (ZAMBIA) LIMITED'","yes","no"
"Zamare Minerals ( Zambia) Limited","critical_battery","5","0","51225","Gold/Copper/Cobalt","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'ZAMARE MINERALS (ZAMBIA) LIMITED'","yes","yes"
"Digital African Company Limited","gemstones","2","0","50964","Iron Ore/Manganese/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Hammer-Land Construction and Mining Limited","gemstones","4","0","49225","Iron Ore/Coal/Lead","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"P & C PRACH INVESTMENTS ZAMBIA LIMITED","critical_battery","1","0","48014","Iron Ore/Manganese/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'P & C PRACH INVESTMENTS ZAMBIA LIMITED'","yes","no"
"Magnum Gulf Resources (Zambia) Limited","critical_battery","2","0","47698","Manganese/Limestone (General)/Dolomite","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MAGNUM GULF RESOURCES (ZAMBIA) LIMITED'","yes","no"
"TCB Mines & Minerals Limited","gemstones","3","0","47659","Lead/Gold/Tourmaline","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'TCB MINES & MINERALS LIMITED'","yes","no"
"Omex Mining(ZAMBIA) Limited","critical_battery","3","0","46639","Gold/Zinc/Cobalt","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'OMEX MINING (ZAMBIA) LIMITED'","yes","no"
"Switty Properties & Real Estate Limited","critical_battery","4","0","45855","Gold/Copper/Nickel","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'SWITTY PROPERTIES & REAL ESTATE LIMITED'","yes","yes"
"BuildFreca Construction Limited","critical_battery","1","0","45791","Gold/Nickel/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"SINOMINE INTERNATIONAL (ZAMBIA) ENGINEERING COMPANY LIMITED","gold","2","0","44554","Malachite/Gold/Copper","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'SINOMINE INTERNATIONAL (ZAMBIA) ENGINEERING COMPANY LIMITED'","yes","yes"
"Meridian Mining & Exploration Limited","gemstones","1","0","44322","Gold/Lithium/Manganese","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MERIDIAN MINING AND EXPLORATION LIMITED'","yes","no"
"Lusan Indusries Ltd","gemstones","2","0","43555","Gold/Iron Ore/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Far-North Enterprise Limited","critical_battery","2","0","43433","Manganese/Silver/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Zambian West Mining Corporation","critical_battery","1","0","42085","Silver/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","no corporate suffix: may be a trading name or an unincorporated venture","no","no"
"G & G National Wide Import And Export Limited","critical_battery","2","0","41394","Tantalum/Nickel/Silver","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'G & G NATIONAL WIDE IMPORT AND EXPORT LIMITED'","yes","no"
"W.M.M Investments Limited","critical_battery","1","0","41010","Manganese/Lead/Nickel","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'W.M.M INVESTMENTS LIMITED'","no","no"
"Wise Suppliers Company Limited","gemstones","3","0","38124","Cobalt/Copper/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Sino-Kasempa Minerals Limited","critical_battery","2","1","35820","Gold/Zinc/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"ZCCM IH Plc","gemstones","1","0","35819","Manganese/Limestone (General)/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Central Africa Renewable Energy Corporation Limited","critical_battery","1","0","34181","Nickel/Uranium/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Neptune  Iron Ore Mining LTD","gemstones","2","0","33788","Zinc/Gold/Copper","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'NEPTUNE IRON ORE MINING LIMITED'","yes","no"
"MMG (Zambia) Exploration Limited","critical_battery","4","0","33639","Silver/Nickel/Zinc","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MMG (ZAMBIA)  EXPLORATION LIMITED'","yes","yes"
"Freca Mining & Manufacturing Limited","critical_battery","3","2","32964","Copper/Nickel/Silver","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'FRECA MINING & MANUFACTURING LIMITED'","yes","no"
"San He (Zambia) Limited","critical_battery","6","4","32155","Manganese/Copper/Cobalt","4","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'SAN HE (ZAMBIA) LIMITED'","yes","no"
"Zhongdi Mining Group Corp.Ltd","critical_battery","1","0","31535","Silver/Manganese/Zinc","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'ZHONGDI MINING GROUP CORPORTION LIMITED'","no","no"
"Yuezam Investments Company Limited","critical_battery","2","0","31474","Iron Ore/Manganese/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Tawakkal Mining Equipments & Auto Spares Limited","gemstones","1","0","30460","Manganese/Limestone (General)/Tin","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'TAWAKKAL MINING EQUIPMENTS & AUTO SPARES LIMITED'","no","no"
"Big 3 Lithium Investments Limited","critical_battery","1","0","28549","Tin/Titanium/Niobium (Columbium)","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Bangweulu Batteries Limited","critical_battery","1","0","28191","Manganese/Lead/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Alpine  Mining & Exploration Limited","critical_battery","3","0","27847","Coal/Nickel/Silver","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'ALPINE MINING & EXPLORATION LIMITED'","yes","no"
"Tauraus Mineral Resources Limited","critical_battery","6","1","27651","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Copper X Resources Limited","base_metals","1","0","27254","Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Strong Tower Mining Ltd","gemstones","2","1","27227","Zinc/Nickel/Quartz","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"MJF Exploration & Mining Limited","critical_battery","3","0","25238","Limestone (General)/Lead/Zinc","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MJF EXPLORATION AND MINING LIMITED'","yes","no"
"F-Net Zambia Limited","critical_battery","2","0","24385","Iron Ore/Lead/Manganese","2","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Musamu Resources ltd","critical_battery","1","1","24229","Nickel/Manganese/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Sino-Metals Leach Zambia Limited","base_metals","3","3","22096","Copper/","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"GEO-LOGIC RESOURCES ZAMBIA LIMITED","gemstones","1","0","21682","Gold/Tourmaline/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Montauk Mining & Minerals Limited","gold","1","0","21488","Iron Ore/Silver/Gold","0","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MONTAUK MINING AND MINERALS LIMITED'","yes","no"
"Trimble Spatial Zen Ltd Test","base_metals","5","0","20905","Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"AMBER Investments & Mining Limited","gold","1","0","20899","Lead/Silver/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'AMBER INVESTMENTS & MINING LIMITED'","yes","yes"
"Tamarisk Investments Ltd","gemstones","1","0","19616","Diamond","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Maamba Colieries Limited","gemstones","4","2","19497","Tantalum/Lithium/Amethyst","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Bans Country wide Tours Limited","critical_battery","1","0","19002","Lead/Iron Ore/Lithium","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Kwikfix Engineering Limited","gold","1","0","18758","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Rio Tinto Exploration Zambia Ltd","gemstones","1","0","18514","Rare EarthsElements/Niobium (Columbium)/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Nisco Industries Ltd","critical_battery","2","0","18343","Lead/Gold/Coal","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Zambian Goldcommon Resources Holdings Ltd","critical_battery","1","0","18237","Iron Ore/Nickel/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"DONZAM EXPLORATION & MINING ZAMBIA LIMITED","gemstones","3","0","17950","Iron Ore/Nickel/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'DONZAM EXPLORATION & MINING ZAMBIA LIMITED'","yes","no"
"Horizon Freight Serices Limited","critical_battery","2","0","17550","Nickel/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Gold Co Corporation Zambia Limited","critical_battery","1","0","15889","Molybdenum/Iron Ore/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Headframe Resources (Z) Ltd","critical_battery","2","0","15341","Rare EarthsElements/Nickel/Zinc","1","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'HEADFRAME RESOURCES ( ZAMBIA ) LIMITED'","no","no"
"Maxglobal Ferro Alloys Limited","critical_battery","2","1","14903","Manganese","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"SGC Investments Limited","critical_battery","2","0","14285","Lithium/Limestone (General)/Lead","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"One Candle (Zambia) Limited","critical_battery","1","0","14025","Manganese/Lead/Nickel","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'ONE CANDLE (ZAMBIA) LIMITED'","no","no"
"Headframe Resources (Zambia) Limited","critical_battery","1","0","13549","Nickel/Lead/Zinc","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'HEADFRAME RESOURCES ( ZAMBIA ) LIMITED'","no","no"
"Marriot Industries Limited","critical_battery","3","0","13482","Iron Ore/Manganese/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"B.C.N INTERNATIONAL LIMITED","gemstones","1","0","11585","Gold/Lithium/Copper","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'B.C.N INTERNATIONAL LIMITED '","no","no"
"Tawakkal Gems Investments Co. Limited","gemstones","4","1","11423","Copper/Gold/Zinc","2","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'TAWAKKAL GEMS INVESTMENTS  COMPANY'","yes","no"
"First Quantum Mining & Operations Limited","critical_battery","1","1","10898","Silver/Zinc/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Brockworth Exploration & Mining Limited","industrial_minerals","1","0","10696","Anhydrite/Gypsum","0","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'BROCKWORTH EXPLORATION & MINING LIMITED'","yes","no"
"WEALTHYBAY MINING COMPANY LIMITED","critical_battery","1","0","10009","Nickel/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Jedna Agri-Trade Limited","critical_battery","1","0","9182","Iron Ore/Anhydrite/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"V.L Investment Company Limited","gemstones","1","0","9111","Malachite/Lead/Nickel","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'V.L INVESTMENTS COMPANY LIMITED'","no","no"
"PETRUSHKA TRADING LINIITED","gemstones","1","0","9097","Gold/Nickel/Diamond","0","0","NOT_FOUND_IN_PACRA_SEARCH","no corporate suffix: may be a trading name or an unincorporated venture","no","no"
"Jing De Zham Enterprises Ltd","critical_battery","1","0","8935","Platinum Group Metals/Nickel/Silver","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Ba'al-Perazim Limited","critical_battery","3","1","8784","Gold/Copper/Manganese","2","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'BA'AL-PERAZIM LIMITED'","yes","yes"
"Tonawanda Procurement Limited","gemstones","3","0","8582","Iron Ore/Manganese/Gold","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","yes"
"Mwaphi Investmnet limited","gemstones","1","0","8369","Gold/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Redspot Intertrade Limited","critical_battery","1","0","8265","Lead/Iron Ore/Lithium","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Hot-Spring Oils Company Limited","critical_battery","2","0","8225","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Novo Resouces Zambia Limited","gemstones","3","0","8134","Gold/Copper/Cobalt","1","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Myanango Enterprises Company Limited","industrial_minerals","2","0","8089","Silica/Granite","2","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Gesso Mining & Investment Lilmited","industrial_minerals","1","0","8064","Anhydrite/Gypsum","0","0","NOT_FOUND_IN_PACRA_SEARCH","no corporate suffix: may be a trading name or an unincorporated venture","no","no"
"Uni-African Mining and Energy Corporation Limited","gemstones","2","0","7949","Iron Ore/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Zambian East Mining Corporation Ltd","gemstones","1","0","7792","Manganese/Iron Ore/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Sino Great Development Company(Zambia) Limited","critical_battery","1","0","7592","Tin/Tantalum/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'SINO GREAT DEVELOPMENT COMPANY (ZAMBIA) LIMITED'","no","no"
"Lords Craftsmen Enterprises Limited","critical_battery","1","0","7390","Nickel/Silver/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Cornerstone Resources Mining & Explorations Limited","critical_battery","1","0","7175","Gold/Manganese/Silver","1","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'CORNERSTONE RESOURCES MINING & EXPLORATIONS LIMITED'","no","no"
"Copper Zone Resources Ltd","critical_battery","1","0","7147","Rare EarthsElements/Manganese/Uranium","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Changa-Changa Exploration Limited","critical_battery","1","0","6911","Lead/Manganese/Zinc","0","1","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Misambo Enterprise & agro Limited","critical_battery","1","0","6900","Manganese/Silver/Gold","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MISAMBO ENTERPRISE AND AGRO LIMITED'","no","no"
"Mowen Resourses Limited","gemstones","1","0","6560","Malachite/Iron Ore/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Gold tech resources zambia limited","gold","1","0","6311","Iron Ore/Limestone (General)/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Feldon & Camara Mining Limited","critical_battery","2","0","5984","Nickel/Zinc/Iron Ore","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'FELDON & CAMARA MINING LIMITED'","yes","no"
"Kilajits Engineering & Logistics Zambia Limited","critical_battery","2","0","5289","Lead/Copper/Cobalt","2","1","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'KILAJITS ENGINEERING & LOGISTICS ZAMBIA LIMITED'","no","no"
"Stewes Mineral Resources Limited","critical_battery","1","0","5227","Lithium/Manganese/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Oscarios Mining & Exploration Limited","critical_battery","3","0","4649","Lead/Manganese/Zinc","2","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'OSCARIOS MINING & EXPLORATION LIMITED'","yes","no"
"Sulwaitech Services Limited","gemstones","8","0","4519","Copper/Zinc/Gold","8","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Dexing Zambia Metallurgical Mining Company Limited","gold","1","0","4275","Malachite/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Mkushi-Serenje Investments Limited","gemstones","3","0","4239","Quartz/Gold/Copper","3","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Iwin Group Limited; Iwin Minerals Limited","critical_battery","1","0","4136","Nickel/Quartz/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Mukoleku Security Services LTD","critical_battery","1","0","4124","Platinum/Mineral Sands/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","no","no"
"Gemaguo Mining and Contractors Limited","gemstones","1","0","4113","Silver/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
"Marjohn Lukeka Mining & Exploration Company Limited","critical_battery","1","0","3555","Iron Ore/Manganese/Zinc","0","0","RESOLVED_ON_RETRY","was a query artefact: register string contains punctuation the PACRA search cannot handle; found as 'MARJOHN LUKEKA MINING LIMITED'","no","no"
"Phenomenal Mining Company Limited","critical_battery","4","0","3455","Manganese/Malachite/Feldspar","0","0","NOT_FOUND_IN_PACRA_SEARCH","has corporate suffix but no registry hit: spelling variance, deregistration, or genuine absence","yes","no"
